,Unnamed: 0,rank,City,Country,Population,Prev,Growth,Area,GDP,Traffic_Index,CO2_Emission_Index,Temp_Jan,Temp_Feb,Temp_Mar,Temp_Apr,Temp_May,Temp_Jun,Temp_Jul,Temp_Aug,Temp_Sep,Temp_Oct,Temp_Nov,Temp_Dec,Temp_Avg,AQI_Avg,O3_Avg,SO2_Avg,PM2.5_Avg,PM10_Avg,CO_Avg,NO2_Avg,NO_Avg,NOX_Avg,C6H6_Avg,NMHC_Avg,GDP_Per_Capita,AQI_Max,AQI_Min,dominant_pollutant
15,15,16,Kinshasa,DR Congo,14970460,14342439,0.0438,9.965,,,,27.0,27.0,27.0,28.0,27.0,25.0,24.0,25.0,26.0,27.0,27.0,26.0,26.0,150.8,18.2,9.2,72.7,129.7,797.8,32.2,7.8,20.9,7.3,0.0,568.0465,,,PM2.5
16,16,17,Lagos,Nigeria,14862111,14368332,0.0344,1.171,74.67,307.47,7925.7,28.0,29.0,30.0,29.0,28.0,27.0,26.0,26.0,26.0,27.0,28.0,28.0,28.0,,,,,,,,,,,,2346.8323,,,
17,17,18,Manila,Philippines,14158573,13923452,0.0169,42.88,192.6,192.88,6379.59,26.0,26.0,28.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0,65.95731707317073,38.72560975609756,0.5426829268292683,19.359756097560975,47.048780487804876,180.41463414634146,23.00609756097561,0.0,0.0,0.0,0.0,3503.4562,86.0,51.0,PM2.5
18,18,19,Tianjin,China,13794450,13589078,0.0151,11.760,204.0,154.61,3442.37,-3.0,1.0,7.0,15.0,21.0,25.0,27.0,26.0,22.0,15.0,6.0,-1.0,13.0,148.44242424242424,8.933333333333334,4.175757575757576,75.30909090909091,138.03636363636363,903.4909090909091,49.21212121212121,0.0,0.0,0.0,0.0,10710.3777,217.0,53.0,PM2.5
19,19,20,Guangzhou,China,13635397,13301532,0.0251,7.434,385.0,154.61,3442.37,14.0,16.0,19.0,23.0,27.0,29.0,30.0,30.0,28.0,25.0,21.0,16.0,23.0,108.52409638554217,30.33132530120482,3.602409638554217,39.16867469879518,87.65060240963855,708.0722891566265,39.933734939759034,0.0,0.0,0.0,0.0,10710.3777,216.0,77.0,PM2.5
20,20,21,Rio de Janeiro,Brazil,13544462,13458075,0.0064,1.255,209.366,175.56,5556.94,27.0,28.0,27.0,26.0,23.0,23.0,22.0,22.0,23.0,24.0,25.0,26.0,25.0,81.86144578313252,28.813253012048193,4.740963855421687,26.771084337349397,45.28313253012048,228.4156626506024,29.08433734939759,0.0,0.0,0.0,0.0,9638.1461,133.0,64.0,PM2.5
21,21,22,Lahore,Pakistan,13095166,12642423,0.0358,1.772,58.14,163.84,5960.32,12.0,16.0,21.0,27.0,32.0,33.0,31.0,31.0,29.0,26.0,20.0,14.0,24.0,201.3012048192771,10.921686746987952,6.006024096385542,135.25301204819277,178.10843373493975,1133.8493975903614,16.283132530120483,8.63855421686747,21.120481927710845,0.8614457831325302,0.0,1254.4675,500.0,82.0,PM2.5
22,22,23,Bangalore,India,12764935,12326532,0.0356,741,,205.21,6005.35,,,,,,,,,,,,,,121.34939759036145,13.53012048192771,3.2289156626506026,46.83734939759036,129.93975903614458,407.0903614457831,42.5722891566265,5.674698795180723,22.572289156626507,0.10843373493975904,0.0,2337.9495,167.0,77.0,PM2.5
23,23,24,Moscow,Russia,12593252,12537954,0.0044,2.511,604.0,181.39,4341.94,-8.0,-7.0,-1.0,7.0,14.0,17.0,20.0,18.0,12.0,6.0,1.0,-3.0,6.0,82.94578313253012,4.620481927710843,1.355421686746988,27.69277108433735,32.45180722891566,419.72289156626505,37.524096385542165,72.75301204819277,0.1686746987951807,0.0,0.0,11427.845,161.0,65.0,PM2.5
24,24,25,Shenzhen,China,12591696,12356820,0.019,2.050,401.0,154.61,3442.37,16.0,17.0,20.0,23.0,27.0,29.0,29.0,29.0,28.0,26.0,22.0,18.0,24.0,86.34939759036145,39.53012048192771,2.4879518072289155,27.656626506024097,64.32530120481928,515.1084337349398,26.367469879518072,0.46987951807228917,0.0,0.0,0.0,10710.3777,143.0,41.0,PM2.5
25,25,26,Chennai,India,11235018,10971108,0.0241,426,78.6,205.21,6005.35,25.0,27.0,29.0,31.0,33.0,32.0,31.0,30.0,30.0,29.0,27.0,26.0,29.0,113.17469879518072,10.409638554216867,2.6987951807228914,44.234939759036145,65.29518072289157,810.3253012048193,22.16867469879518,8.44578313253012,15.042168674698795,0.7168674698795181,0.0,2337.9495,175.0,44.0,PM2.5
