,city,Temp_avg,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
900,Safaqis,,,,,,,,,,,,,
901,Khabarovsk,2,-20,-15,-7,5,13,19,22,20,14,5,-7,-18
902,Herat,18,4,7,13,19,25,29,30,29,24,18,10,6
903,Duesseldorf,,,,,,,,,,,,,
904,Belfast,10,5,5,7,9,11,14,16,15,13,11,8,6
905,Nasiriyah,,,,,,,,,,,,,
906,Stuttgart,9,0,1,4,8,13,16,18,17,13,9,4,1
907,Verona,14,3,5,9,13,19,22,25,24,20,14,8,4
908,Raurkela,,,,,,,,,,,,,
909,Jubayl,,,,,,,,,,,,,
910,Riga,7,-2,-2,1,6,12,15,18,17,13,7,3,-1
911,Bandar Abbas,27,17,19,22,27,31,34,35,34,32,29,24,19
912,Kolhapur,27,25,26,27,29,30,28,27,27,27,28,28,27
913,Bacolod,28,26,27,28,29,29,28,28,28,28,28,28,27
914,Seregno,,,,,,,,,,,,,
915,Ulyanovsk,5,-12,-12,-4,6,14,18,20,19,13,5,-1,-7
916,Uvira,26,27,27,27,28,27,25,24,25,26,27,27,26
917,Al-Ain,,,,,,,,,,,,,
918,Bari,16,9,9,11,14,18,22,25,25,21,17,13,10
919,Yulin Guangxi,,,,,,,,,,,,,
920,Ajmer,26,16,20,25,30,34,34,31,29,29,28,22,18
921,Kuching,27,26,27,27,28,28,28,28,28,28,27,27,27
922,Bissau,28,26,27,28,29,29,29,28,27,28,28,28,26
923,Bauchi,28,22,26,29,32,32,30,28,27,28,29,26,22
924,Geneva,11,2,3,7,10,15,18,20,20,16,12,6,3
925,Enshi,,,,,,,,,,,,,
926,Anshun,,,,,,,,,,,,,
927,Colombo,28,27,28,29,29,30,29,29,29,28,28,28,27
928,Sihui,,,,,,,,,,,,,
929,Hanzhong,,,,,,,,,,,,,
930,Ujjain,25,18,21,26,30,32,30,26,25,26,26,23,20
931,Gothenburg,,,,,,,,,,,,,
932,Jinzhong,,,,,,,,,,,,,
933,Patiala,25,13,17,22,28,32,33,31,30,29,26,20,15
934,Zahedan,19,7,10,15,20,25,28,29,27,23,19,13,9
935,Bilaspur,25,18,21,25,29,32,30,26,26,26,24,21,18
936,Louisville,15,2,4,9,15,20,24,26,26,22,15,9,4
937,San Jose del Monte,28,27,28,28,29,28,28,27,27,27,28,28,28
938,Hillah,,,,,,,,,,,,,
939,Kryvyi Rih,10,-4,-3,3,10,17,21,23,23,17,10,4,-1
940,Yaroslavl,5,-10,-9,-3,5,13,16,19,17,12,5,0,-5
941,Brighton,,,,,,,,,,,,,
942,Feira De Santana,22,23,23,23,23,21,20,19,21,23,24,23,23
943,Vladivostok,5,-13,-9,-2,6,11,15,19,21,16,9,-1,-10
944,Comilla,26,18,22,26,28,29,29,29,29,29,28,24,20
945,Tlaxcala,,,,,,,,,,,,,
946,Siping,,,,,,,,,,,,,
947,Sanhe,,,,,,,,,,,,,
948,Calabar,27,27,28,28,27,27,26,26,25,26,26,26,27
949,Mathura,26,15,19,25,30,35,34,31,30,30,27,22,17
950,Abakaliki,27,29,29,29,28,28,27,26,26,26,27,27,27
951,Xinmi,15,1,4,10,16,22,26,28,26,21,17,9,3
952,Skopje,13,1,4,8,12,17,22,24,24,19,14,7,2
953,Makhachkala,13,0,1,5,10,17,23,25,25,21,14,8,4
954,Tomsk,1,-20,-17,-6,3,9,16,19,15,9,2,-8,-15
955,Jingjiang,,,,,,,,,,,,,
956,Shishi,,,,,,,,,,,,,
957,Fuqing,,,,,,,,,,,,,
958,Sanliurfa,,,,,,,,,,,,,
959,Leipzig,9,1,1,5,9,13,16,19,18,14,9,5,2
960,Agartala,26,18,22,26,28,29,29,29,29,29,28,24,20
961,Xiantao,,,,,,,,,,,,,
962,Yichun Heilongjiang,,,,,,,,,,,,,
963,Imphal,22,15,17,21,23,25,26,26,26,26,24,19,15
964,Daye,,,,,,,,,,,,,
965,Mbeya,18,20,20,20,19,17,15,15,16,18,20,21,20
966,Cenxi,,,,,,,,,,,,,
967,Kingston,28,27,27,27,28,28,29,29,29,29,29,28,27
968,Sangli,24,22,24,26,28,28,25,24,24,24,24,23,22
969,Cuiaba,28,28,28,28,28,26,26,25,28,29,30,29,28
970,Samarkand,15,3,4,9,15,20,25,26,25,21,15,9,4
971,Malaga,19,12,13,15,16,19,23,26,26,24,20,16,13
972,Ibague,23,23,23,23,22,22,22,23,23,23,22,22,22
973,Dortmund,11,3,3,6,10,13,16,19,18,15,11,7,4
974,Kagoshima,19,8,10,13,17,21,24,29,29,27,22,16,10
975,Cabimas,,,,,,,,,,,,,
976,Qitaihe,,,,,,,,,,,,,
977,Milwaukee,9,-5,-3,2,8,14,20,23,22,18,11,4,-2
978,Catania,18,11,11,12,15,19,23,26,26,24,20,15,12
979,Samut Sakhon,29,29,29,30,30,30,29,29,29,29,28,29,29
980,Likasi,26,27,27,27,28,27,25,24,25,26,27,27,26
981,Beira,24,27,27,27,25,23,21,20,22,23,25,26,27
982,Hamadan,12,-2,2,7,12,16,22,25,24,20,14,6,1
983,Shuozhou,,,,,,,,,,,,,
984,Tonghua,,,,,,,,,,,,,
985,Djibouti,31,26,26,28,30,33,36,38,37,34,31,29,27
986,Essen,11,3,4,7,10,14,16,19,18,15,11,7,4
987,Toulon,16,9,9,11,13,17,21,23,24,20,17,13,10
988,Dresden,9,-1,0,4,10,14,17,19,18,14,9,5,0
989,Juiz De Fora,21,24,25,24,22,19,19,18,19,20,21,22,23
990,Bouake,28,27,29,29,29,28,27,26,26,27,27,28,26
991,Pereira,23,23,23,23,22,22,22,23,23,23,22,22,22
992,Udaipur,28,20,23,28,32,35,33,30,29,30,29,25,22
993,Sanmenxia,,,,,,,,,,,,,
994,Vellore,29,25,27,29,31,33,32,31,30,30,29,27,26
995,Dongyang,,,,,,,,,,,,,
996,Ardabil,10,-1,1,5,10,15,18,20,20,17,12,6,1
997,Thoothukkudi,,,,,,,,,,,,,
998,Bloemfontein,,,,,,,,,,,,,
999,Xinyi,,,,,,,,,,,,,
1000,Udon Thani,,,,,,,,,,,,,
1001,Ogbomosho,,,,,,,,,,,,,
1002,Jalgaon,26,21,24,28,31,33,29,26,26,26,26,24,22
1003,Hebi,,,,,,,,,,,,,
1004,Zaoyang,,,,,,,,,,,,,
1005,Yiyang Hunan,,,,,,,,,,,,,
1006,Gaya,26,16,20,25,31,33,33,30,30,29,26,22,17
1007,Baltimore,13,1,2,7,12,18,23,26,24,20,14,8,3
1008,Yazd,20,7,10,15,21,27,31,33,31,27,22,13,8
1009,Tirunelveli,28,28,28,29,29,29,28,27,28,28,28,28,28
1010,Zhaodong,,,,,,,,,,,,,
1011,Dengfeng,,,,,,,,,,,,,
1012,Matamoros,24,17,19,21,24,27,29,30,30,28,25,21,18
1013,Kitchener,7,-6,-6,-1,6,13,18,20,19,15,9,3,-3
1014,Poza Rica de Hidalgo,16,13,14,16,18,18,17,17,17,16,15,14,14
1015,Oujda,,,,,,,,,,,,,
1016,Santa Fe,,,,,,,,,,,,,
1017,Cuito,,,,,,,,,,,,,
1018,Orenburg,5,-12,-12,-5,7,15,21,22,20,14,6,-3,-9
1019,Cangzhou,,,,,,,,,,,,,
1020,Jiaozhou,,,,,,,,,,,,,
1021,Kemerovo,2,-17,-14,-6,2,11,16,19,16,9,2,-8,-14
1022,Bremen,10,2,2,5,9,13,15,18,17,15,10,7,4
1023,Karbala,17,4,6,10,15,21,26,29,29,25,19,11,7
1024,Al-Mansurah,,,,,,,,,,,,,
1025,Weinan,,,,,,,,,,,,,
1026,Anyang,,,,,,,,,,,,,
1027,Mazar-e Sharif,23,12,14,19,24,29,32,31,30,29,24,18,13
1028,Kota Kinabalu,28,27,27,28,29,29,28,28,28,28,28,28,28
1029,Basel,11,2,3,7,10,15,18,20,20,15,11,6,3
1030,Gomel,8,-4,-4,1,9,15,18,20,19,13,7,1,-3
1031,Albuquerque,14,3,6,10,14,19,24,26,25,21,15,8,3
1032,Gaozhou,,,,,,,,,,,,,
1033,Feicheng,,,,,,,,,,,,,
1034,Meknes,,,,,,,,,,,,,
1035,Panipat,25,14,17,23,29,33,34,31,30,30,26,21,16
1036,Kahramanmaras,18,5,7,11,16,21,26,30,31,26,19,12,7
1037,Irbid,19,10,11,14,17,22,24,26,27,25,22,16,11
1038,Arak,14,-1,4,9,14,19,25,28,27,22,16,8,2
1039,Tepic,23,19,19,20,21,23,26,26,26,26,25,22,19
1040,Chiang Rai,27,23,25,28,30,29,29,28,28,28,27,25,23
1041,Guangyuan,,,,,,,,,,,,,
1042,Leicester,,,,,,,,,,,,,
1043,Tongchuan,,,,,,,,,,,,,
1044,Khamis Mushayt,21,15,17,19,21,23,25,25,25,24,20,18,15
1045,Ndola,21,23,23,22,21,19,17,16,19,22,25,25,23
1046,Tucson,20,9,11,15,20,24,28,30,31,27,20,14,9
1047,Imus,,,,,,,,,,,,,
1048,Villavicencio,14,13,14,14,14,14,14,13,13,13,14,14,14
1049,Sakarya,,,,,,,,,,,,,
1050,Bamenda,27,28,29,29,28,28,27,26,26,26,27,28,28
1051,Shouguang,,,,,,,,,,,,,
1052,Utrecht,11,3,4,6,10,13,16,18,17,15,11,8,4
1053,Rajahmundry,29,25,27,29,31,33,32,30,30,30,29,27,25
1054,Novokuznetsk,2,-16,-13,-5,3,11,16,19,16,10,3,-7,-13
1055,Larkana,,,,,,,,,,,,,
1056,Basilan City,28,28,28,28,29,29,29,28,28,28,28,28,28
1057,Valledupar,29,29,29,30,30,29,30,30,30,29,29,28,29
1058,Chaoyang,,,,,,,,,,,,,
1059,Uige,25,27,27,28,28,27,23,22,22,23,25,27,27
1060,Hamhung,11,-3,-1,4,10,16,20,23,24,20,14,6,-2
1061,Sukkur,28,15,19,25,31,36,36,35,33,32,29,23,17
1062,Rayong,,,,,,,,,,,,,
1063,Port of Spain,28,26,27,27,28,28,28,28,28,28,28,28,27
1064,Kerman,17,5,7,12,17,22,26,28,25,22,17,11,7
1065,Abeokuta,28,28,29,30,29,28,27,26,26,26,27,28,28
1066,Mekele,,,,,,,,,,,,,
1067,Yongkang,,,,,,,,,,,,,
1068,Edinburgh,9,4,4,6,8,10,13,15,15,13,10,6,4
1069,Haining,,,,,,,,,,,,,
1070,San Juan,,,,,,,,,,,,,
1071,Ryazan,6,-10,-9,-2,6,15,17,20,19,12,5,0,-5
1072,Vilnius,7,-4,-3,1,7,13,16,18,17,12,7,2,-2
1073,Taishan,,,,,,,,,,,,,
1074,Calamba,,,,,,,,,,,,,
1075,Mesa,23,13,15,18,22,27,32,34,34,31,24,18,13
1076,Hannover,10,2,3,5,9,13,16,19,18,15,10,6,3
1077,Fresno,18,9,11,14,17,21,25,28,28,25,19,13,8
1078,Chuzhou,,,,,,,,,,,,,
1079,Namangan,15,0,3,11,18,23,27,29,28,22,16,8,2
1080,Pingdu,,,,,,,,,,,,,
1081,Al-Mukalla,26,22,23,24,26,28,29,28,27,28,26,25,24
1082,Qingzhou,,,,,,,,,,,,,
1083,Longkou,,,,,,,,,,,,,
1084,Naberezhnye Tchelny,5,-13,-12,-4,6,14,19,20,19,12,5,-2,-8
1085,Astrakhan,11,-5,-4,4,11,19,25,26,26,19,11,4,-1
1086,Santa Marta,23,23,23,23,22,22,22,23,23,23,22,22,22
1087,Ambon,27,28,27,28,27,27,26,25,25,26,27,28,28
1088,Bellary,,,,,,,,,,,,,
1089,Diwaniyah,,,,,,,,,,,,,
1090,Pietermaritzburg,17,21,22,20,17,15,12,12,14,17,18,18,20
1091,Rustenburg,20,24,24,23,19,16,13,13,15,20,23,23,24
1092,Heyuan,,,,,,,,,,,,,
1093,Yanshi,,,,,,,,,,,,,
1094,Al-Raqqa,,,,,,,,,,,,,
1095,Surakarta,28,27,27,28,28,29,28,28,28,29,29,29,28
1096,Dali,,,,,,,,,,,,,
1097,Sheikhupura,,,,,,,,,,,,,
1098,Changning,,,,,,,,,,,,,
1099,Grenoble,11,3,4,7,10,15,18,20,20,16,13,7,3
1100,Puerto Vallarta,26,22,22,23,24,26,28,28,29,28,28,26,23
1101,Balashikha,,,,,,,,,,,,,
1102,Angeles City,27,25,26,27,28,28,28,27,27,27,27,27,26
1103,Gombe,29,26,29,33,34,31,29,28,27,27,29,29,26
1104,Hosur,,,,,,,,,,,,,
1105,Poznan,9,0,1,4,9,14,17,19,19,14,9,4,1
1106,Gongyi,,,,,,,,,,,,,
1107,Van,,,,,,,,,,,,,
1108,Gaoyou,,,,,,,,,,,,,
1109,Shizuishan,,,,,,,,,,,,,
1110,El Djelfa,20,10,11,14,19,23,28,32,32,26,21,14,10
1111,Kikwit,,,,,,,,,,,,,
1112,Ar-Rusayfah,,,,,,,,,,,,,
1113,Vale do Aco,27,27,27,27,27,26,26,25,27,28,28,27,27
1114,Cuautla Morelos,,,,,,,,,,,,,
1115,Sacramento,16,8,11,13,15,19,22,24,24,22,18,12,8
1116,Kalasin,,,,,,,,,,,,,
1117,Shangyu,,,,,,,,,,,,,
1118,Atlanta,17,6,8,12,16,21,25,27,26,23,17,11,7
1119,Al-Mahallah al-Kubra,,,,,,,,,,,,,
1120,Loum,,,,,,,,,,,,,
1121,Laixi,,,,,,,,,,,,,
1122,Kakinada,29,25,27,29,31,33,32,30,30,30,29,27,25
1123,Rupganj,,,,,,,,,,,,,
1124,Penza,5,-9,-9,-4,7,14,18,20,18,12,5,-2,-7
1125,Berbera,31,26,26,28,30,33,36,38,37,34,31,29,27
1126,Utsunomiya,14,3,4,7,12,17,21,25,26,22,17,11,6
1127,Porto Velho,,,,,,,,,,,,,
1128,Davanagere,,,,,,,,,,,,,
1129,Qianjiang,,,,,,,,,,,,,
1130,Chuxiong,,,,,,,,,,,,,
1131,Songyuan,,,,,,,,,,,,,
1132,Duisburg,11,3,4,7,10,14,16,19,18,15,11,7,4
1133,Nakhon Pathom,30,28,30,31,32,31,30,30,30,29,29,29,28
1134,Muzaffarpur,26,15,20,25,30,32,32,30,30,30,27,22,17
1135,Mataram,27,28,28,28,28,27,26,26,26,27,28,28,28
1136,Mbouda,,,,,,,,,,,,,
1137,Zinder,29,23,27,30,33,34,33,30,28,30,31,27,23
1138,Changge,,,,,,,,,,,,,
1139,Kirov,3,-13,-12,-4,4,13,17,19,17,11,3,-3,-9
1140,Kuantan,28,26,27,28,28,29,28,28,28,28,28,27,26
1141,Ziyang,,,,,,,,,,,,,
1142,Xingning,,,,,,,,,,,,,
1143,Kandahar,23,8,12,18,25,31,34,36,35,30,24,16,9
1144,Nurenberg,,,,,,,,,,,,,
1145,London CA,8,-5,-5,0,7,14,19,21,20,16,10,4,-2
1146,Eslamshahr,,,,,,,,,,,,,
1147,Bournemouth,,,,,,,,,,,,,
1148,Jinjiang,,,,,,,,,,,,,
1149,Khon-Kaen,28,23,26,29,30,30,30,29,28,28,27,26,24
1150,Cheboksary,6,-11,-10,-3,6,15,18,21,19,13,5,-1,-6
1151,Matsuyama,17,7,7,10,14,19,22,26,28,24,19,14,9
1152,Tanta,,,,,,,,,,,,,
1153,Shuangyashan,,,,,,,,,,,,,
1154,Lipetsk,7,-8,-8,-1,8,16,19,21,20,14,7,1,-4
1155,Karaganda,,,,,,,,,,,,,
1156,Changyi,,,,,,,,,,,,,
1157,Arusha,21,23,23,23,22,20,19,18,19,20,22,22,22
1158,Murcia,19,11,12,14,17,20,24,27,27,24,20,15,12
1159,Malatya,13,0,2,7,12,17,23,27,27,22,15,7,2
1160,Guang-an,,,,,,,,,,,,,
1161,Tirana,16,7,8,11,14,19,22,25,25,21,17,13,8
1162,Surat Thani,,,,,,,,,,,,,
1163,Kansas City,14,0,2,8,14,19,25,27,26,21,14,8,2
1164,Ubon Ratchathani,28,24,27,29,30,30,29,28,28,28,27,27,25
1165,Kolwezi,,,,,,,,,,,,,
1166,Kabinda,24,24,24,24,25,24,24,24,25,25,25,24,25
1167,Jianyang,,,,,,,,,,,,,
1168,Douai-Lens,,,,,,,,,,,,,
1169,Nanping,,,,,,,,,,,,,
