,city,Temp_avg,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
136,Wuxi,,,,,,,,,,,,,
137,Mashhad,15,3,5,9,16,21,26,28,26,22,16,9,4
138,Puebla,17,13,15,16,18,19,19,18,18,18,17,15,14
139,Dakar,25,22,22,22,22,24,26,28,28,28,28,27,24
140,Thrissur,28,28,28,29,29,29,28,27,27,27,28,28,28
141,Kochi,28,28,28,29,29,29,28,27,27,27,28,28,28
142,Kuwait City,,,,,,,,,,,,,
143,Durban,21,25,25,24,22,20,18,17,18,20,21,22,24
144,Port Harcourt,27,29,29,29,28,28,27,26,26,26,27,27,27
145,Lanzhou,,,,,,,,,,,,,
146,Kanpur,25,15,19,24,30,32,33,30,30,29,26,21,16
147,Athens,19,10,11,13,16,21,26,29,29,25,20,16,12
148,Milan,14,3,5,10,14,19,22,25,24,20,15,9,4
149,Indore,25,18,21,26,30,32,30,26,25,26,26,23,20
150,Pyongyang,11,-6,-2,4,11,18,23,25,26,21,14,5,-4
151,Sanaa,,,,,,,,,,,,,
152,Guayaquil,27,27,27,28,28,27,26,26,25,26,26,26,28
153,Izmir,17,8,9,11,15,20,25,28,27,23,18,13,9
154,Kiev,,,,,,,,,,,,,
155,Guatemala City,,,,,,,,,,,,,
156,Surabaya,29,28,29,29,29,29,29,28,28,29,30,30,29
157,Lisbon,17,11,12,15,16,18,21,23,23,22,19,15,12
158,Caracas,25,24,24,25,26,26,26,25,26,26,26,25,25
159,Zhongshan,,,,,,,,,,,,,
160,Nagpur,27,21,24,28,32,36,32,28,27,28,27,24,21
161,Shizuoka,16,6,8,10,14,19,22,26,27,24,19,14,9
162,Dubai,,,,,,,,,,,,,
163,Ouagadougou,28,26,27,28,28,29,29,28,29,28,28,28,27
164,Lusaka,21,23,23,22,21,19,17,16,19,22,25,25,23
165,Coimbatore,27,25,27,29,30,29,28,27,27,27,27,26,25
166,Port-au-Prince,28,27,27,27,28,29,30,30,30,29,29,28,27
167,Depok,,,,,,,,,,,,,
168,Handan,15,-1,3,10,16,22,27,28,26,21,16,7,1
169,Incheon,12,-2,0,5,11,17,21,24,26,21,15,8,1
170,Cali,24,24,25,25,24,24,24,24,25,25,24,24,24
171,Algiers,18,11,11,13,15,19,23,26,27,24,20,15,12
172,Huaian,,,,,,,,,,,,,
173,Manchester,10,5,5,6,9,12,14,16,16,14,11,7,5
174,Goiania,25,25,26,25,25,23,22,22,24,27,27,26,25
175,Weifang,,,,,,,,,,,,,
176,Taibei,,,,,,,,,,,,,
177,Bamako,28,24,28,31,32,32,29,27,26,27,28,26,24
178,Thiruvananthapuram,28,27,28,29,29,29,28,27,27,28,28,28,28
179,Zibo,13,-2,1,7,14,20,24,26,25,20,15,7,0
180,Chicago,11,-3,-2,4,10,16,22,25,24,19,12,6,-1
181,Sapporo,9,-4,-3,1,7,13,18,22,23,19,12,5,-1
182,Pretoria,19,23,24,22,19,16,13,13,16,20,22,23,23
183,Mbuji-Mayi,24,24,24,24,24,24,23,23,24,25,25,24,24
184,Shaoxing,17,5,7,11,17,22,25,30,29,24,19,13,7
185,Birmingham,10,4,5,6,8,12,14,17,16,14,11,7,5
186,Yantai,,,,,,,,,,,,,
187,Bandung,23,22,22,22,23,23,23,22,23,23,23,23,23
188,Vancouver,11,4,5,7,9,13,16,18,18,15,11,7,4
189,Huizhou,,,,,,,,,,,,,
190,Lubumbashi,21,23,23,22,21,19,17,16,19,22,25,25,23
191,Accra,27,27,28,29,29,28,27,26,26,27,27,28,27
192,Tashkent,16,3,5,10,16,21,26,28,27,22,15,9,4
