,city,area,unit,url
285,Santa Cruz,41,km2,https://www.google.com/search?q=Santa+Cruz+surface+area
286,Matola,,,https://www.google.com/search?q=Matola+surface+area
287,Gaziantep,6.819,km2,https://www.google.com/search?q=Gaziantep+surface+area
288,Sharjah,235.5,km2,https://www.google.com/search?q=Sharjah+surface+area
289,Phoenix,1.338,km2,https://www.google.com/search?q=Phoenix+surface+area
290,Lyon,47.87,km2,https://www.google.com/search?q=Lyon+surface+area
291,Meerut,450,km2,https://www.google.com/search?q=Meerut+surface+area
292,Jiangmen,9.443,km2,https://www.google.com/search?q=Jiangmen+surface+area
293,Can Tho,1.439,km2,https://www.google.com/search?q=Can+Tho+surface+area
294,Raipur,226,km2,https://www.google.com/search?q=Raipur+surface+area
295,Varanasi,,,https://www.google.com/search?q=Varanasi+surface+area
296,Xiangyang,,,https://www.google.com/search?q=Xiangyang+surface+area
297,Mosul,180,km2,https://www.google.com/search?q=Mosul+surface+area
298,Glasgow,175,km2,https://www.google.com/search?q=Glasgow+surface+area
299,Novosibirsk,502.7,km2,https://www.google.com/search?q=Novosibirsk+surface+area
300,Shiraz,,,https://www.google.com/search?q=Shiraz+surface+area
301,La Laguna,,,https://www.google.com/search?q=La+Laguna+surface+area
302,Cixi,,,https://www.google.com/search?q=Cixi+surface+area
303,Stockholm,188,km2,https://www.google.com/search?q=Stockholm+surface+area
304,Anshan,Area,,https://www.google.com/search?q=Anshan+surface+area
305,Auckland,1.086,km2,https://www.google.com/search?q=Auckland+surface+area
306,Jamshedpur,224,km2,https://www.google.com/search?q=Jamshedpur+surface+area
307,Tabriz,324,km2,https://www.google.com/search?q=Tabriz+surface+area
308,Yinchuan,8.875,km2,https://www.google.com/search?q=Yinchuan+surface+area
309,Jilin,27.166,km2,https://www.google.com/search?q=Jilin+surface+area
310,Srinagar,294,km2,https://www.google.com/search?q=Srinagar+surface+area
311,Batam,1.595,km2,https://www.google.com/search?q=Batam+surface+area
312,Ulaanbaatar,4.704,km2,https://www.google.com/search?q=Ulaanbaatar+surface+area
313,Marseille,240.6,km2,https://www.google.com/search?q=Marseille+surface+area
314,Makassar,175.8,km2,https://www.google.com/search?q=Makassar+surface+area
315,Yichang,,,https://www.google.com/search?q=Yichang+surface+area
316,Aurangabad,139,km2,https://www.google.com/search?q=Aurangabad+surface+area
317,Muscat,3.500,km2,https://www.google.com/search?q=Muscat+surface+area
318,Qinhuangdao,,,https://www.google.com/search?q=Qinhuangdao+surface+area
319,Philadelphia,367,km2,https://www.google.com/search?q=Philadelphia+surface+area
320,Cordoba,Official,,https://www.google.com/search?q=Cordoba+surface+area
321,Qiqihaer,42.206,km2,https://www.google.com/search?q=Qiqihaer+surface+area
322,Xining,7.596,km2,https://www.google.com/search?q=Xining+surface+area
323,Karaj,,,https://www.google.com/search?q=Karaj+surface+area
324,San Antonio,1.307,km2,https://www.google.com/search?q=San+Antonio+surface+area
325,Calgary,825.3,km2,https://www.google.com/search?q=Calgary+surface+area
326,Hengyang,,,https://www.google.com/search?q=Hengyang+surface+area
327,Daejon,539.8,km2,https://www.google.com/search?q=Daejon+surface+area
328,Monrovia,35.59,km2,https://www.google.com/search?q=Monrovia+surface+area
