,rank,Name,Country,Population,Prev,Growth
850,851,Oklahoma City,United States,669347,662202,0.0108
851,852,Lattakia,Syria,668809,655714,0.02
852,853,Las Vegas,United States,667501,659410,0.0123
853,854,Tabuk,Saudi Arabia,667155,657277,0.015
854,855,Ankang,China,666656,636293,0.0477
855,856,General Santos City,Philippines,665418,652723,0.0194
856,857,Renqiu,China,664262,640271,0.0375
857,858,Detroit,United States,664139,667085,-0.0044
858,859,Manama,Bahrain,663893,634508,0.0463
859,860,Loudi,China,663765,639167,0.0385
860,861,Jeonju,South Korea,663607,663145,0.0007
861,862,Bijie,China,662697,637795,0.039
862,863,Portland,United States,662549,658645,0.0059
863,864,Sokoto,Nigeria,662173,641249,0.0326
864,865,Qinzhou,China,661953,644359,0.0273
865,866,Macao,Macau,661838,651875,0.0153
866,867,Samsun,Turkey,660863,642592,0.0284
867,868,Denizli,Turkey,660643,644782,0.0246
868,869,Zhoushan,China,659777,647419,0.0191
869,870,Busto Arsizio,Italy,657698,654258,0.0053
870,871,Tongxiang,China,656136,629527,0.0423
871,872,Longhai,China,655081,631203,0.0378
872,873,Puyang,China,654261,632347,0.0347
873,874,Hezhou,China,654185,625304,0.0462
874,875,Jhansi,India,653879,642709,0.0174
875,876,Neijiang,China,653866,645874,0.0124
876,877,Izhevsk,Russia,651601,651338,0.0004
877,878,Memphis,United States,651011,651042,-0.0
878,879,Jamnagar,India,650977,644738,0.0097
879,880,As-Suways,Egypt,649368,638229,0.0175
880,881,Erode,India,647988,634977,0.0205
881,882,Doha,Qatar,646177,641380,0.0075
882,883,Pachuca de Soto,Mexico,646101,633453,0.02
883,884,Haimen,China,645598,626067,0.0312
884,885,Chongjin,North Korea,645488,642447,0.0047
885,886,Chiclayo,Peru,645366,637255,0.0127
886,887,Wuhai,China,644895,630295,0.0232
887,888,Hegang,China,644894,638855,0.0095
888,889,Sanya,China,644727,625290,0.0311
889,890,Be'er Sheva,Israel,644278,637539,0.0106
890,891,Durango,Mexico,642750,630982,0.0187
891,892,Bokaro Steel City,India,642145,633551,0.0136
892,893,Wroclaw,Poland,642085,641401,0.0011
893,894,Irkutsk,Russia,641504,638843,0.0042
894,895,Barnaul,Russia,640396,639783,0.001
895,896,Nay Pyi Taw,Myanmar,639759,593596,0.0778
896,897,Bulawayo,Zimbabwe,639722,638188,0.0024
897,898,Miluo,China,639015,604159,0.0577
898,899,Venezia,Italy,638264,637245,0.0016
899,900,Jambi,Indonesia,637037,626192,0.0173
900,901,Safaqis,Tunisia,636613,630175,0.0102
901,902,Khabarovsk,Russia,636254,633151,0.0049
902,903,Herat,Afghanistan,635579,605575,0.0495
903,904,Duesseldorf,Germany,635046,631942,0.0049
904,905,Belfast,United Kingdom,634594,630632,0.0063
905,906,Nasiriyah,Iraq,634492,616994,0.0284
906,907,Stuttgart,Germany,633808,632692,0.0018
907,908,Verona,Italy,633128,629658,0.0055
908,909,Raurkela,India,631310,622636,0.0139
909,910,Jubayl,Saudi Arabia,631060,605743,0.0418
910,911,Riga,Latvia,627763,630692,-0.0046
911,912,Bandar Abbas,Iran,627174,606633,0.0339
912,913,Kolhapur,India,626791,619358,0.012
913,914,Bacolod,Philippines,624783,613437,0.0185
914,915,Seregno,Italy,624706,619871,0.0078
915,916,Ulyanovsk,Russia,624103,624896,-0.0013
916,917,Uvira,DR Congo,622862,589731,0.0562
917,918,Al-Ain,United Arab Emirates,622675,610887,0.0193
918,919,Bari,Italy,622590,622377,0.0003
919,920,Yulin Guangxi,China,622115,613668,0.0138
920,921,Ajmer,India,621505,613617,0.0129
921,922,Kuching,Malaysia,621114,611566,0.0156
922,923,Bissau,Guinea-Bissau,620974,599714,0.0355
923,924,Bauchi,Nigeria,620800,597679,0.0387
924,925,Geneva,Switzerland,620131,613373,0.011
925,926,Enshi,China,619178,586667,0.0554
926,927,Anshun,China,619116,600121,0.0317
927,928,Colombo,Sri Lanka,619001,612535,0.0106
928,929,Sihui,China,618859,591080,0.047
929,930,Hanzhong,China,618109,605327,0.0211
930,931,Ujjain,India,617812,607055,0.0177
931,932,Gothenburg,Sweden,617781,610521,0.0119
932,933,Jinzhong,China,617236,599611,0.0294
933,934,Patiala,India,616590,599186,0.029
934,935,Zahedan,Iran,616511,609873,0.0109
935,936,Bilaspur,India,616394,599812,0.0276
936,937,Louisville,United States,615924,616781,-0.0014
937,938,San Jose del Monte,Philippines,615815,607692,0.0134
938,939,Hillah,Iraq,615167,604149,0.0182
939,940,Kryvyi Rih,Ukraine,613696,618706,-0.0081
940,941,Yaroslavl,Russia,612502,612365,0.0002
941,942,Brighton,United Kingdom,612159,606909,0.0087
942,943,Feira De Santana,Brazil,609939,602128,0.013
943,944,Vladivostok,Russia,609632,609754,-0.0002
944,945,Comilla,Bangladesh,609345,588772,0.0349
945,946,Tlaxcala,Mexico,606590,596362,0.0172
946,947,Siping,China,604724,594482,0.0172
947,948,Sanhe,China,604549,576241,0.0491
948,949,Calabar,Nigeria,604546,579273,0.0436
949,950,Mathura,India,603301,588334,0.0254
950,951,Abakaliki,Nigeria,601712,572028,0.0519
951,952,Xinmi,China,600980,575696,0.0439
952,953,Skopje,North Macedonia,600708,595275,0.0091
953,954,Makhachkala,Russia,600541,599792,0.0012
954,955,Tomsk,Russia,600254,595642,0.0077
955,956,Jingjiang,China,599221,577513,0.0376
956,957,Shishi,China,598547,585317,0.0226
957,958,Fuqing,China,597698,584631,0.0224
958,959,Sanliurfa,Turkey,596713,590522,0.0105
959,960,Leipzig,Germany,596230,591052,0.0088
960,961,Agartala,India,595210,575073,0.035
961,962,Xiantao,China,594155,588540,0.0095
962,963,Yichun Heilongjiang,China,593871,598465,-0.0077
963,964,Imphal,India,593524,575625,0.0311
964,965,Daye,China,592972,578374,0.0252
965,966,Mbeya,Tanzania,592579,566065,0.0468
966,967,Cenxi,China,592553,565509,0.0478
967,968,Kingston,Jamaica,592477,590940,0.0026
968,969,Sangli,India,592117,583629,0.0145
969,970,Cuiaba,Brazil,591522,588566,0.005
970,971,Samarkand,Uzbekistan,591252,578762,0.0216
971,972,Malaga,Spain,591091,590032,0.0018
972,973,Ibague,Colombia,590686,586187,0.0077
973,974,Dortmund,Germany,589748,589600,0.0003
974,975,Kagoshima,Japan,588413,591042,-0.0044
975,976,Cabimas,Venezuela,588348,578222,0.0175
976,977,Qitaihe,China,588212,578992,0.0159
977,978,Milwaukee,United States,587721,588939,-0.0021
978,979,Catania,Italy,586049,585877,0.0003
979,980,Samut Sakhon,Thailand,585964,578273,0.0133
980,981,Likasi,DR Congo,585678,567839,0.0314
981,982,Beira,Mozambique,584989,569911,0.0265
982,983,Hamadan,Iran,584645,577808,0.0118
983,984,Shuozhou,China,584272,563456,0.0369
984,985,Tonghua,China,584209,572967,0.0196
985,986,Djibouti,Djibouti,583695,576157,0.0131
986,987,Essen,Germany,581579,582128,-0.0009
987,988,Toulon,France,581264,579095,0.0037
988,989,Dresden,Germany,580877,575476,0.0094
989,990,Juiz De Fora,Brazil,580874,575481,0.0094
990,991,Bouake,Ivory Coast,580586,571876,0.0152
991,992,Pereira,Colombia,580225,579620,0.001
992,993,Udaipur,India,580191,569224,0.0193
993,994,Sanmenxia,China,579273,561369,0.0319
994,995,Vellore,India,578956,569048,0.0174
995,996,Dongyang,China,578734,566083,0.0223
996,997,Ardabil,Iran,578222,567912,0.0182
997,998,Thoothukkudi,India,577945,560930,0.0303
998,999,Bloemfontein,South Africa,577560,567029,0.0186
999,1000,Xinyi,China,577474,559613,0.0319
1000,1001,Udon Thani,Thailand,576666,570115,0.0115
1001,1002,Ogbomosho,Nigeria,576557,551474,0.0455
1002,1003,Jalgaon,India,576506,564540,0.0212
1003,1004,Hebi,China,576427,565986,0.0184
1004,1005,Zaoyang,China,576057,562379,0.0243
1005,1006,Yiyang Hunan,China,576041,558615,0.0312
1006,1007,Gaya,India,575652,565253,0.0184
1007,1008,Baltimore,United States,575584,584537,-0.0153
1008,1009,Yazd,Iran,575105,565449,0.0171
1009,1010,Tirunelveli,India,574000,565735,0.0146
1010,1011,Zhaodong,China,572358,550240,0.0402
1011,1012,Dengfeng,China,571083,540789,0.056
1012,1013,Matamoros,Mexico,570752,562755,0.0142
1013,1014,Kitchener,Canada,570681,562466,0.0146
1014,1015,Poza Rica de Hidalgo,Mexico,570576,564578,0.0106
1015,1016,Oujda,Morocco,570257,558524,0.021
1016,1017,Santa Fe,Argentina,569991,562917,0.0126
1017,1018,Cuito,Angola,569533,535407,0.0637
1018,1019,Orenburg,Russia,569029,568812,0.0004
1019,1020,Cangzhou,China,568818,560962,0.014
1020,1021,Jiaozhou,China,568186,551500,0.0303
1021,1022,Kemerovo,Russia,567035,565759,0.0023
1022,1023,Bremen,Germany,566331,565354,0.0017
1023,1024,Karbala,Iraq,565196,555073,0.0182
1024,1025,Al-Mansurah,Egypt,565015,555621,0.0169
1025,1026,Weinan,China,564709,553302,0.0206
1026,1027,Anyang,South Korea,564685,567945,-0.0057
1027,1028,Mazar-e Sharif,Afghanistan,563825,532689,0.0585
1028,1029,Kota Kinabalu,Malaysia,562824,549586,0.0241
1029,1030,Basel,Switzerland,562710,559027,0.0066
1030,1031,Gomel,Belarus,562405,557589,0.0086
1031,1032,Albuquerque,United States,562281,561397,0.0016
1032,1033,Gaozhou,China,561197,537329,0.0444
1033,1034,Feicheng,China,560756,551319,0.0171
1034,1035,Meknes,Morocco,560746,553755,0.0126
1035,1036,Panipat,India,559798,547952,0.0216
1036,1037,Kahramanmaras,Turkey,559574,546688,0.0236
1037,1038,Irbid,Jordan,559386,556899,0.0045
1038,1039,Arak,Iran,559300,551006,0.0151
1039,1040,Tepic,Mexico,558052,545941,0.0222
1040,1041,Chiang Rai,Thailand,557280,549966,0.0133
1041,1042,Guangyuan,China,557144,539179,0.0333
1042,1043,Leicester,United Kingdom,556930,552178,0.0086
1043,1044,Tongchuan,China,556484,546649,0.018
1044,1045,Khamis Mushayt,Saudi Arabia,555589,547724,0.0144
1045,1046,Ndola,Zambia,555560,542495,0.0241
1046,1047,Tucson,United States,554503,551288,0.0058
1047,1048,Imus,Philippines,553579,527779,0.0489
1048,1049,Villavicencio,Colombia,553451,544115,0.0172
1049,1050,Sakarya,Turkey,553438,539445,0.0259
1050,1051,Bamenda,Cameroon,553084,533257,0.0372
1051,1052,Shouguang,China,552602,544207,0.0154
1052,1053,Utrecht,Netherlands,551879,544389,0.0138
1053,1054,Rajahmundry,India,551828,543729,0.0149
1054,1055,Novokuznetsk,Russia,549364,550575,-0.0022
1055,1056,Larkana,Pakistan,548916,534288,0.0274
1056,1057,Basilan City,Philippines,548445,533135,0.0287
1057,1058,Valledupar,Colombia,547790,533453,0.0269
1058,1059,Chaoyang,China,546816,539052,0.0144
1059,1060,Uige,Angola,546706,510631,0.0706
1060,1061,Hamhung,North Korea,545847,548992,-0.0057
1061,1062,Sukkur,Pakistan,545349,534486,0.0203
1062,1063,Rayong,Thailand,545307,538150,0.0133
1063,1064,Port of Spain,Trinidad and Tobago,544305,544207,0.0002
1064,1065,Kerman,Iran,543855,541485,0.0044
1065,1066,Abeokuta,Nigeria,543723,532856,0.0204
1066,1067,Mekele,Ethiopia,543622,523914,0.0376
1067,1068,Yongkang,China,543073,526069,0.0323
1068,1069,Edinburgh,United Kingdom,542599,536775,0.0108
1069,1070,Haining,China,542380,527655,0.0279
1070,1071,San Juan,Argentina,541366,536913,0.0083
1071,1072,Ryazan,Russia,540183,540317,-0.0002
1072,1073,Vilnius,Lithuania,539978,538894,0.002
1073,1074,Taishan,China,539674,524937,0.0281
1074,1075,Calamba,Philippines,539157,524577,0.0278
1075,1076,Mesa,United States,538146,528079,0.0191
1076,1077,Hannover,Germany,537418,536976,0.0008
1077,1078,Fresno,United States,537100,534338,0.0052
1078,1079,Chuzhou,China,536745,522062,0.0281
1079,1080,Namangan,Uzbekistan,536396,528763,0.0144
1080,1081,Pingdu,China,536334,525093,0.0214
1081,1082,Al-Mukalla,Yemen,536256,506356,0.059
1082,1083,Qingzhou,China,535777,520371,0.0296
1083,1084,Longkou,China,535497,520568,0.0287
1084,1085,Naberezhnye Tchelny,Russia,535124,534726,0.0007
1085,1086,Astrakhan,Russia,534762,534947,-0.0003
1086,1087,Santa Marta,Colombia,533792,527326,0.0123
1087,1088,Ambon,Indonesia,533623,513457,0.0393
1088,1089,Bellary,India,533505,520926,0.0241
1089,1090,Diwaniyah,Iraq,532961,513369,0.0382
1090,1091,Pietermaritzburg,South Africa,532766,526912,0.0111
1091,1092,Rustenburg,South Africa,532711,509368,0.0458
1092,1093,Heyuan,China,532613,523818,0.0168
1093,1094,Yanshi,China,532183,507643,0.0483
1094,1095,Al-Raqqa,Syria,531952,521537,0.02
1095,1096,Surakarta,Indonesia,531897,527279,0.0088
1096,1097,Dali,China,531353,514610,0.0325
1097,1098,Sheikhupura,Pakistan,530798,517342,0.026
1098,1099,Changning,China,530738,510275,0.0401
1099,1100,Grenoble,France,530690,527720,0.0056
1100,1101,Puerto Vallarta,Mexico,530078,515909,0.0275
1101,1102,Balashikha,Russia,530037,514662,0.0299
1102,1103,Angeles City,Philippines,529991,509765,0.0397
1103,1104,Gombe,Nigeria,529283,508575,0.0407
1104,1105,Hosur,India,528951,493896,0.071
1105,1106,Poznan,Poland,528457,531030,-0.0048
1106,1107,Gongyi,China,527880,511410,0.0322
1107,1108,Van,Turkey,527682,511391,0.0319
1108,1109,Gaoyou,China,527063,507934,0.0377
1109,1110,Shizuishan,China,527050,514455,0.0245
1110,1111,El Djelfa,Algeria,527033,503397,0.047
1111,1112,Kikwit,DR Congo,526217,507462,0.037
1112,1113,Ar-Rusayfah,Jordan,525880,523543,0.0045
1113,1114,Vale do Aco,Brazil,525634,521744,0.0075
1114,1115,Cuautla Morelos,Mexico,525498,516755,0.0169
1115,1116,Sacramento,United States,525398,519511,0.0113
1116,1117,Kalasin,Thailand,524519,517635,0.0133
1117,1118,Shangyu,China,524344,510813,0.0265
1118,1119,Atlanta,United States,524067,515439,0.0167
1119,1120,Al-Mahallah al-Kubra,Egypt,523903,517549,0.0123
1120,1121,Loum,Cameroon,523577,497578,0.0523
1121,1122,Laixi,China,523107,505117,0.0356
1122,1123,Kakinada,India,522676,514227,0.0164
1123,1124,Rupganj,Bangladesh,522366,481718,0.0844
1124,1125,Penza,Russia,522207,523092,-0.0017
1125,1126,Berbera,Somalia,521966,499396,0.0452
1126,1127,Utsunomiya,Japan,521669,522100,-0.0008
1127,1128,Porto Velho,Brazil,521270,510419,0.0213
1128,1129,Davanagere,India,520856,511843,0.0176
1129,1130,Qianjiang,China,520601,511738,0.0173
1130,1131,Chuxiong,China,520282,500867,0.0388
1131,1132,Songyuan,China,519674,513231,0.0126
1132,1133,Duisburg,Germany,519056,515076,0.0077
1133,1134,Nakhon Pathom,Thailand,518433,503271,0.0301
1134,1135,Muzaffarpur,India,516403,504158,0.0243
1135,1136,Mataram,Indonesia,516280,505024,0.0223
1136,1137,Mbouda,Cameroon,516015,485660,0.0625
1137,1138,Zinder,Niger,515736,489178,0.0543
1138,1139,Changge,China,515109,490123,0.051
1139,1140,Kirov,Russia,514996,513003,0.0039
1140,1141,Kuantan,Malaysia,514419,502866,0.023
1141,1142,Ziyang,China,514110,500094,0.028
1142,1143,Xingning,China,513553,487815,0.0528
1143,1144,Kandahar,Afghanistan,511949,498002,0.028
1144,1145,Nurenberg,Germany,511889,511941,-0.0001
1145,1146,London CA,Canada,511368,508230,0.0062
1146,1147,Eslamshahr,Iran,511227,498261,0.026
1147,1148,Bournemouth,United Kingdom,510021,505687,0.0086
1148,1149,Jinjiang,China,509894,498294,0.0233
1149,1150,Khon-Kaen,Thailand,509278,502594,0.0133
1150,1151,Cheboksary,Russia,509038,505870,0.0063
1151,1152,Matsuyama,Japan,508241,509958,-0.0034
1152,1153,Tanta,Egypt,508012,501423,0.0131
1153,1154,Shuangyashan,China,507257,503179,0.0081
1154,1155,Lipetsk,Russia,505846,507291,-0.0028
1155,1156,Karaganda,Kazakhstan,505157,504946,0.0004
1156,1157,Changyi,China,505019,482027,0.0477
1157,1158,Arusha,Tanzania,504857,492919,0.0242
1158,1159,Murcia,Spain,504491,499783,0.0094
1159,1160,Malatya,Turkey,503988,496002,0.0161
1160,1161,Guang-an,China,503551,484324,0.0397
1161,1162,Tirana,Albania,502734,493712,0.0183
1162,1163,Surat Thani,Thailand,502564,495968,0.0133
1163,1164,Kansas City,United States,501957,498642,0.0066
1164,1165,Ubon Ratchathani,Thailand,501747,495308,0.013
1165,1166,Kolwezi,DR Congo,501375,494654,0.0136
1166,1167,Kabinda,DR Congo,501054,465599,0.0761
1167,1168,Jianyang,China,500925,487133,0.0283
1168,1169,Douai-Lens,France,500921,500776,0.0003
1169,1170,Nanping,China,500785,491287,0.0193
