,city,area,unit,url
666,Yiyang Hunan,12.144,km2,https://www.google.com/search?q=Yiyang+Hunan+surface+area
667,Baltimore,239,km2,https://www.google.com/search?q=Baltimore+surface+area
668,Kitchener,136.9,km2,https://www.google.com/search?q=Kitchener+surface+area
669,Poza Rica de Hidalgo,64,km2,https://www.google.com/search?q=Poza+Rica+de+Hidalgo+surface+area
670,Oujda,96.4,km2,https://www.google.com/search?q=Oujda+surface+area
671,Orenburg,259,km2,https://www.google.com/search?q=Orenburg+surface+area
672,Kemerovo,294.8,km2,https://www.google.com/search?q=Kemerovo+surface+area
673,Bremen,326.7,km2,https://www.google.com/search?q=Bremen+surface+area
674,Karbala,43.7,km2,https://www.google.com/search?q=Karbala+surface+area
675,Kota Kinabalu,352.2,km2,https://www.google.com/search?q=Kota+Kinabalu+surface+area
676,Basel,23.91,km2,https://www.google.com/search?q=Basel+surface+area
677,Gomel,139.8,km2,https://www.google.com/search?q=Gomel+surface+area
678,Albuquerque,489.2,km2,https://www.google.com/search?q=Albuquerque+surface+area
679,Meknes,370,km2,https://www.google.com/search?q=Meknes+surface+area
680,Panipat,1.268,km2,https://www.google.com/search?q=Panipat+surface+area
681,Irbid,410,km2,https://www.google.com/search?q=Irbid+surface+area
682,Chiang Rai,60.85,km2,https://www.google.com/search?q=Chiang+Rai+surface+area
683,Leicester,73.3,km2,https://www.google.com/search?q=Leicester+surface+area
684,Tucson,587.2,km2,https://www.google.com/search?q=Tucson+surface+area
685,Imus,171.7,km2,https://www.google.com/search?q=Imus+surface+area
686,Villavicencio,1.338,km2,https://www.google.com/search?q=Villavicencio+surface+area
687,Sakarya,650,km2,https://www.google.com/search?q=Sakarya+surface+area
688,Utrecht,99.21,km2,https://www.google.com/search?q=Utrecht+surface+area
689,Larkana,82,km2,https://www.google.com/search?q=Larkana+surface+area
690,Basilan City,1.234,km2,https://www.google.com/search?q=Basilan+City+surface+area
691,Hamhung,330,km2,https://www.google.com/search?q=Hamhung+surface+area
692,Port of Spain,12,km2,https://www.google.com/search?q=Port+of+Spain+surface+area
693,Kerman,238.8,km2,https://www.google.com/search?q=Kerman+surface+area
694,Abeokuta,879,km2,https://www.google.com/search?q=Abeokuta+surface+area
695,Mekele,24.44,km2,https://www.google.com/search?q=Mekele+surface+area
696,Edinburgh,264,km2,https://www.google.com/search?q=Edinburgh+surface+area
697,San Juan,199.4,km2,https://www.google.com/search?q=San+Juan+surface+area
698,Ryazan,224.2,km2,https://www.google.com/search?q=Ryazan+surface+area
699,Vilnius,401,km2,https://www.google.com/search?q=Vilnius+surface+area
700,Calamba,144.8,km2,https://www.google.com/search?q=Calamba+surface+area
701,Hannover,204,km2,https://www.google.com/search?q=Hannover+surface+area
702,Fresno,300.4,km2,https://www.google.com/search?q=Fresno+surface+area
703,Astrakhan,208.7,km2,https://www.google.com/search?q=Astrakhan+surface+area
704,Bellary,89.95,km2,https://www.google.com/search?q=Bellary+surface+area
705,Pietermaritzburg,126.2,km2,https://www.google.com/search?q=Pietermaritzburg+surface+area
706,Rustenburg,3.423,km2,https://www.google.com/search?q=Rustenburg+surface+area
707,Sheikhupura,75,km2,https://www.google.com/search?q=Sheikhupura+surface+area
708,Grenoble,18.13,km2,https://www.google.com/search?q=Grenoble+surface+area
709,Angeles City,60.27,km2,https://www.google.com/search?q=Angeles+City+surface+area
710,Gombe,35,km2,https://www.google.com/search?q=Gombe+surface+area
711,Poznan,261.8,km2,https://www.google.com/search?q=Poznan+surface+area
712,Kikwit,92,km2,https://www.google.com/search?q=Kikwit+surface+area
713,Cuautla Morelos,153.7,km2,https://www.google.com/search?q=Cuautla+Morelos+surface+area
714,Kalasin,16.96,km2,https://www.google.com/search?q=Kalasin+surface+area
715,Atlanta,353,km2,https://www.google.com/search?q=Atlanta+surface+area
716,Rupganj,248,km2,https://www.google.com/search?q=Rupganj+surface+area
717,Penza,304.6,km2,https://www.google.com/search?q=Penza+surface+area
718,Porto Velho,34.091,km2,https://www.google.com/search?q=Porto+Velho+surface+area
719,Chuxiong,4.482,km2,https://www.google.com/search?q=Chuxiong+surface+area
720,Duisburg,232.8,km2,https://www.google.com/search?q=Duisburg+surface+area
721,Muzaffarpur,28.68,km2,https://www.google.com/search?q=Muzaffarpur+surface+area
722,Changge,650,km2,https://www.google.com/search?q=Changge+surface+area
723,Kuantan,324,km2,https://www.google.com/search?q=Kuantan+surface+area
724,Kandahar,273.4,km2,https://www.google.com/search?q=Kandahar+surface+area
725,Nurenberg,186.5,km2,https://www.google.com/search?q=Nurenberg+surface+area
