city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Zaozhuang,193,PM2.5,5,6,142,142,1135,34,0,0,0,0
Maturin,18,O3,18,0,4,6,92,0,0,0,0,0
Xinxiang,118,PM2.5,1,7,43,143,1265,33,0,0,0,0
Buffalo City,67,PM2.5,19,0,19,49,51,19,0,0,0,0
Yueqing,58,PM2.5,25,1,13,32,311,36,11,22,0,0
Luohe,111,PM2.5,2,6,41,93,573,33,0,0,0,0
Saharanpur,277,PM10,7,3,190,384,1153,20,5,18,14,0
Yanji,53,PM2.5,28,8,15,15,364,8,0,0,0,0
Cuernavaca,80,O3,49,1,20,31,379,33,0,0,0,0
Tongling,96,PM2.5,8,2,38,57,336,20,3,19,0,0
Yerevan,128,PM2.5,12,4,50,64,547,3,0,0,0,0
Wuzhou,113,PM2.5,3,16,39,75,786,16,0,0,0,0
Goyang,48,PM2.5,23,2,12,20,601,29,0,0,0,0
Oaxaca de Juarez,54,PM2.5,34,0,15,17,127,11,0,0,0,0
Tbilisi,15,O3,17,0,3,5,162,2,0,0,0,0
Chihuahua,33,O3,34,0,5,9,109,2,0,0,0,0
Washington,62,PM2.5,27,1,16,44,365,27,16,47,0,0
Panjin,30,PM2.5,31,1,7,27,140,9,0,1,0,0
Perm,58,PM2.5,28,2,17,25,140,10,0,0,0,0
Sargodha,172,PM2.5,28,3,82,119,759,6,0,0,0,0
Bhavnagar,153,PM2.5,15,4,59,107,554,15,7,21,2,0
Gold Coast,25,PM2.5,22,1,5,23,69,24,0,0,0,0
Yan'an,25,PM2.5,22,1,5,23,69,24,0,0,0,0
Jalandhar,179,PM2.5,21,3,111,180,1051,6,11,11,2,0
Jammu,57,PM2.5,16,1,15,42,352,25,3,25,0,0
Voronezh,76,PM2.5,20,3,25,31,164,22,0,0,0,0
Yulin Shaanxi,57,PM2.5,16,1,15,42,352,25,3,25,0,0
Cartagena,60,PM2.5,31,3,15,20,117,22,0,0,0,0
Nanded Waghala,156,PM2.5,3,10,64,107,415,11,13,23,0,0
Wenling,85,PM2.5,12,2,27,50,297,19,0,0,0,0
Lille,64,PM2.5,5,0,17,30,131,22,1,8,1,0
Fuyang,192,PM2.5,2,6,155,155,1025,36,0,0,0,0
Diyarbakir,101,PM2.5,31,2,28,57,151,8,0,0,0,0
Bazhong,109,PM2.5,3,1,38,60,517,12,0,0,0,0
Dazhou,46,PM2.5,46,0,11,19,124,17,0,1,0,0
Siliguri,146,PM2.5,5,2,40,92,389,15,43,80,11,0
Oslo,95,PM2.5,0,1,34,72,412,39,35,63,0,0
Shangrao,42,PM2.5,38,0,9,21,117,1,0,0,0,0
Changwon,59,PM2.5,26,3,14,33,413,22,0,4,0,0
Tirupati,109,PM2.5,22,3,38,53,757,1,2,3,1,0
Jingzhou Hubei,59,PM2.5,26,3,14,33,413,22,0,4,0,0
Bacoor,109,PM2.5,22,3,38,53,757,1,2,3,1,0
Ma'anshan,13,O3,15,0,2,6,63,0,0,0,0,0
Malanje,32,PM2.5,16,0,9,13,238,10,0,0,0,0
Zhaoqing,61,PM2.5,5,4,16,30,426,30,0,0,0,0
Dengzhou,107,PM2.5,5,3,34,98,720,23,0,0,0,0
Antwerp,41,PM2.5,4,1,11,21,249,17,9,0,0,0
The Hague,51,PM2.5,29,0,12,29,144,23,4,0,1,0
