city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Antalya,90,PM2.5,21,3,34,71,573,53,0,0,0,0
Bareilly,105,PM2.5,14,4,32,91,539,23,2,4,0,0
Kazan,27,PM2.5,27,2,6,9,135,3,0,0,0,0
Ad-Dammam,101,PM2.5,37,26,35,59,172,54,0,0,0,0
Port Elizabeth,63,PM2.5,13,2,17,44,116,30,3,3,0,0
Ahvaz,32,O3,37,0,3,3,119,1,0,0,0,0
Florianopolis,48,PM2.5,20,0,16,35,69,19,0,0,0,0
Nizhniy Novgorod,69,PM2.5,26,2,19,35,135,33,0,0,0,0
Dublin,67,PM2.5,24,3,22,23,357,18,22,18,0,0
Maoming,54,PM2.5,15,0,14,14,197,5,11,1,0,0
San Luis Potosi,74,PM2.5,22,4,19,45,317,19,0,0,0,0
Mysore,129,PM2.5,26,3,44,104,254,35,3,14,4,0
Chelyabinsk,57,PM2.5,15,2,13,26,151,32,0,0,0,0
Moradabad,90,PM2.5,10,3,22,81,507,28,2,2,0,0
Barquisimeto,38,PM2.5,21,2,10,15,263,6,0,0,0,0
Durg-Bhilainagar,158,PM2.5,22,122,90,129,1174,46,0,0,0,0
Suzhou,71,PM2.5,27,1,22,42,232,31,0,0,0,0
Maracay,36,PM2.5,17,4,7,10,186,4,0,0,0,0
Ruian,37,PM2.5,28,1,11,13,196,16,0,0,1,0
Zhenjiang Jiangsu,161,PM2.5,27,4,72,101,784,71,0,0,0,0
Baoji,118,PM2.5,22,3,45,74,498,29,0,0,0,0
Bhubaneswar,105,PM2.5,13,5,41,62,405,56,0,0,0,0
Pingdingshan Henan,105,PM2.5,13,5,41,62,405,56,0,0,0,0
Mendoza,56,PM2.5,24,1,11,20,135,18,0,0,0,0
Chiang Mai,74,O3,74,1,19,37,655,4,0,0,0,0
Tiruchirappalli,132,PM2.5,52,6,50,86,440,17,1,4,1,0
Huaibei,95,PM2.5,11,3,34,97,320,45,1,16,0,0
Jinhua,61,PM2.5,23,0,20,42,230,38,18,49,0,0
Chandigarh,160,PM2.5,37,8,68,143,518,39,7,19,3,0
Islamabad,85,PM2.5,12,5,35,50,1051,39,0,0,0,0
Amsterdam,87,PM2.5,5,0,32,42,316,21,3,0,0,0
Haifa,87,PM2.5,48,1,29,97,417,12,5,17,1,0
Guilin,109,PM2.5,50,3,39,57,327,13,0,0,0,0
Mexicali,153,PM2.5,4,0,60,72,661,22,39,61,0,0
Ufa,57,PM2.5,17,2,16,28,147,44,0,0,0,0
Rostov-on-Don,85,PM2.5,20,10,25,48,227,37,0,0,0,0
Hubli-Dharwad,102,PM2.5,39,1,33,63,176,18,8,22,0,0
Guwahati,161,PM2.5,13,6,74,99,373,11,3,7,0,0
Liupanshui,157,PM2.5,21,4,70,109,804,42,0,0,0,0
Quetta,47,O3,55,1,9,15,151,2,0,0,0,0
Cologne,61,PM2.5,1,1,18,37,289,20,57,16,0,0
Aguascalientes,58,PM2.5,27,4,14,35,302,8,0,0,0,0
Binzhou,61,PM2.5,25,0,19,29,214,19,0,9,0,0
Salem,28,O3,36,0,3,10,204,2,0,10,0,0
Saharanpur,166,PM2.5,33,9,88,185,450,25,2,13,3,0
Yerevan,171,PM2.5,29,7,95,179,498,13,0,0,0,0
Tbilisi,54,PM2.5,34,1,15,35,191,4,0,0,0,0
Jalandhar,102,PM2.5,34,6,32,96,916,14,4,8,1,0
Lille,111,PM2.5,9,0,48,67,238,29,15,7,1,0
Siliguri,107,PM2.5,24,2,38,133,279,26,23,33,2,0
Oslo,46,PM2.5,26,1,11,26,215,22,29,38,0,0
Jingzhou Hubei,46,PM2.5,26,1,11,26,215,22,29,38,0,0
Zhaoqing,59,PM2.5,54,4,16,31,387,13,0,0,0,0
Antwerp,74,PM2.5,4,1,25,32,257,12,31,0,0,0
Johor Bahru,151,PM2.5,30,4,69,73,319,40,0,0,0,0
Solapur,131,PM2.5,66,4,50,114,273,21,0,0,0,0
Teresina,64,PM2.5,29,0,24,32,161,14,0,0,0,0
Fuzhou Jiangxi,90,PM2.5,34,1,26,46,299,39,0,0,0,0
Aracaju,61,PM2.5,19,0,19,41,75,13,0,0,0,0
Leshan,181,PM2.5,7,6,118,177,958,34,0,0,0,0
Marrakech,29,PM2.5,39,0,7,11,97,1,0,0,0,0
Rotterdam,96,PM2.5,5,1,34,42,279,26,4,0,1,0
Austin,52,PM2.5,12,0,14,41,298,16,2,6,0,0
San Jose,70,PM2.5,2,0,20,35,570,19,8,26,0,0
Denpasar,69,PM2.5,18,0,24,46,246,15,0,0,0,0
Odesa,79,PM2.5,29,2,23,42,149,27,0,0,0,0
San Miguel de Tucuman,72,PM2.5,16,3,24,38,233,21,0,0,0,0
Padang,66,PM2.5,20,1,22,53,292,23,0,0,0,0
Cebu City,64,PM2.5,38,1,19,34,132,23,0,0,0,0
Acapulco de Juarez,51,PM2.5,39,8,11,17,221,19,0,0,0,0
Valparaiso,76,PM2.5,23,3,27,46,522,15,0,0,0,0
Kayseri,172,PM2.5,7,5,100,193,1155,51,0,0,0,0
Warangal,67,PM2.5,53,11,21,30,249,6,2,8,0,0
Changshu,110,PM2.5,13,4,41,86,1050,56,0,0,0,0
Bordeaux,41,PM2.5,12,1,12,22,178,12,0,41,0,0
Songkhla,49,PM2.5,51,6,12,27,14,2,0,0,0,0
Yichun Jiangxi,77,PM2.5,18,2,22,56,261,16,4,19,0,0
Krasnodar,82,PM2.5,21,2,30,34,219,29,0,0,0,0
Dnipro,71,PM2.5,26,2,19,35,193,26,0,0,0,0
Khulna,57,PM2.5,16,3,15,25,439,8,10,29,7,0
Jerusalem,112,PM2.5,43,1,39,141,227,12,11,30,1,0
Dehradun,156,PM2.5,33,7,65,173,437,32,3,15,3,0
Fort Worth,30,PM2.5,17,0,6,16,196,9,0,2,0,0
Jiujiang,99,PM2.5,23,4,38,55,1063,44,0,0,0,0
Southampton,32,O3,38,0,6,24,162,5,6,25,0,0
Arequipa,38,PM2.5,29,1,9,15,155,4,0,0,0,0
Ciudad Guayana,38,PM2.5,29,1,9,15,155,4,0,0,0,0
Veracruz,48,PM2.5,21,1,13,20,178,4,0,0,0,0
Jacksonville,90,PM2.5,1,1,31,49,900,19,0,0,0,0
Pathum Thani,125,PM2.5,31,2,52,97,397,22,0,0,0,0
Rajshahi,66,PM2.5,24,2,15,24,267,10,9,24,2,0
Guigang,112,PM2.5,22,2,48,101,244,13,3,14,0,0
Columbus,27,O3,30,0,4,8,100,12,0,0,0,0
Charlotte,75,PM2.5,16,0,27,53,231,12,0,6,0,0
Ulsan,75,PM2.5,15,3,24,38,635,38,0,4,0,0
Liverpool,58,PM2.5,17,1,17,22,129,30,26,40,0,0
Antipolo,63,PM2.5,26,0,17,33,233,38,0,0,0,0
Zhangzhou,65,PM2.5,45,3,19,53,296,14,1,7,0,0
Bergamo,53,PM2.5,3,1,15,24,438,29,0,0,1,0
Donetsk,82,PM2.5,18,10,22,29,469,23,0,0,0,0
Malang,99,PM2.5,2,0,37,66,878,31,0,0,0,0
Linfen,154,PM2.5,7,10,64,106,1044,41,0,0,0,0
Sylhet,43,PM2.5,5,7,9,14,106,2,1,3,0,0
Indianapolis,66,PM2.5,18,0,19,60,306,17,0,0,0,0
Hermosillo,37,PM2.5,17,1,9,15,202,8,0,0,0,0
San Francisco,80,PM2.5,2,0,29,51,481,28,3,18,0,0
Guntur,40,PM2.5,17,8,7,35,713,6,2,8,0,0
Bahawalpur,156,PM2.5,59,5,61,98,589,4,0,0,0,0
Tyumen,59,PM2.5,25,1,15,30,136,37,0,0,0,0
Soshanguve,46,PM2.5,22,1,13,18,1034,4,5,10,1,0
Tuxtla Gutierrez,66,PM2.5,17,1,16,23,195,2,0,0,0,0
Puducherry,124,PM2.5,30,3,45,90,437,11,1,4,1,0
Culiacan,52,PM2.5,7,0,11,17,280,7,0,0,0,0
Saratov,60,PM2.5,16,2,13,32,142,29,0,0,0,0
Valencia,61,PM2.5,31,1,17,17,118,15,2,6,0,0
Luzhou,214,PM2.5,3,8,170,199,1084,37,0,0,0,0
Yibin,190,PM2.5,19,6,139,195,924,21,0,0,0,0
Ipoh,123,PM2.5,10,1,45,76,568,31,0,0,0,0
Winnipeg,36,O3,39,0,1,1,117,0,0,0,0,0
Bogra,65,PM2.5,29,0,19,19,225,5,0,0,0,0
Newcastle upon Tyne,51,PM2.5,15,0,14,34,154,54,68,104,0,0
Thessaloniki,97,PM2.5,27,2,39,50,125,18,0,0,4,0
Bologna,115,PM2.5,13,1,41,49,503,60,10,16,1,0
Barcelona-Puerto La Cruz,26,O3,28,0,4,12,180,8,1,10,1,0
Cherthala,79,PM2.5,6,6,26,59,818,26,22,31,0,0
Quzhou,112,PM2.5,61,3,40,72,508,19,0,0,0,0
Sorocaba,58,PM2.5,15,1,13,14,581,14,0,0,2,0
Nottingham,63,PM2.5,16,1,15,37,152,35,10,26,0,0
Xalapa,38,PM2.5,15,4,9,12,180,3,0,0,0,0
Frankfurt,61,PM2.5,2,0,17,41,349,23,114,32,1,0
Nakhon Ratchasima,103,PM2.5,67,1,30,47,500,11,0,0,0,0
Vereeniging,59,PM2.5,37,1,16,31,237,26,4,9,0,0
Seattle,54,PM2.5,7,0,13,26,300,22,1,15,0,0
Bozhou,75,PM2.5,43,1,23,75,30,9,0,0,0,0
Nellore,155,PM2.5,32,5,61,104,597,37,5,18,1,0
Hamilton,28,PM2.5,21,0,5,19,355,17,2,24,0,0
Cagayan de Oro City,89,PM2.5,33,0,28,39,160,11,0,0,0,0
Krakow,163,PM2.5,1,3,77,90,496,18,0,68,1,0
Gorakhpur,128,PM2.5,23,6,44,90,795,8,2,37,0,0
Dasmarinas,74,PM2.5,27,1,19,49,235,27,0,0,0,0
Ar-Rayyan,70,PM2.5,42,2,19,78,97,1,0,0,0,0
Cuttack,82,PM2.5,9,5,28,40,424,25,0,0,0,0
Denver,36,PM2.5,34,0,9,21,145,16,0,9,0,0
Qingyuan,73,PM2.5,38,1,24,74,318,35,1,14,0,0
Banjarmasin,55,PM2.5,13,1,12,19,334,10,0,0,0,0
Kottayam,80,PM2.5,8,6,23,69,792,27,20,31,0,0
Belgaum,64,PM2.5,9,1,17,18,484,11,42,4,1,0
Sheffield,49,PM2.5,15,0,11,20,153,22,17,32,0,0
Gaza,127,PM2.5,56,1,45,166,349,6,1,7,1,0
Zaragoza,33,PM2.5,30,2,8,14,135,16,4,12,0,0
Zaporizhzhya,157,PM2.5,27,5,70,88,324,26,0,0,0,0
Malegaon,166,PM2.5,62,8,82,120,390,14,2,12,1,0
Sao Jose dos Campos,67,PM2.5,15,1,21,46,202,27,0,0,1,0
Mangalore,139,PM2.5,21,1,54,92,256,28,3,8,1,0
Okayama,68,PM2.5,11,3,23,46,506,57,5,31,0,194
Ribeirao Preto,56,PM2.5,26,1,20,29,118,20,0,0,1,0
Xianyang Shaanxi,56,PM2.5,26,1,20,29,118,20,0,0,1,0
Bunia,17,O3,18,0,3,5,126,1,0,0,0,0
Lviv,91,PM2.5,15,1,28,44,212,28,0,18,3,0
Tongliao,68,PM2.5,12,2,24,35,263,23,0,0,0,0
Sialkot,99,PM2.5,30,2,31,47,577,12,4,8,0,0
Buffalo City,69,PM2.5,29,0,26,50,77,36,0,0,0,0
Suining Sichuan,69,PM2.5,29,0,26,50,77,36,0,0,0,0
Oaxaca de Juarez,46,PM2.5,22,1,12,17,203,3,0,0,0,0
Washington,55,PM2.5,20,1,13,38,336,28,52,89,0,0
Sargodha,67,PM2.5,44,2,21,31,325,5,0,0,0,0
Bhavnagar,169,PM2.5,26,22,64,141,709,31,6,21,7,0
Gold Coast,47,PM2.5,18,1,10,32,71,28,0,0,0,0
Florence,34,PM2.5,18,0,8,20,367,19,2,21,0,0
Jammu,51,PM2.5,22,0,18,43,301,27,13,37,0,0
Yulin Shaanxi,51,PM2.5,22,0,18,43,301,27,13,37,0,0
Nanded Waghala,104,PM2.5,63,22,32,66,328,10,14,29,1,0
Tirupati,169,PM2.5,16,2,94,117,1020,22,6,23,1,0
Bacoor,71,PM2.5,26,1,24,24,239,20,0,0,0,0
The Hague,109,PM2.5,6,0,38,58,251,38,9,0,1,0
Seville,86,PM2.5,11,2,27,39,379,30,10,22,0,0
Dongtai,152,PM2.5,37,4,62,99,865,35,0,0,0,0
Bali,69,PM2.5,18,0,24,46,246,15,0,0,0,0
Boston,25,PM10,29,0,7,26,207,14,2,10,0,0
Yuxi,151,PM2.5,30,4,58,70,809,17,0,0,0,0
Bristol,29,O3,37,0,7,14,169,3,1,5,0,0
Cheonan,152,PM2.5,19,2,61,75,805,25,2,9,1,0
Jundiai,70,PM2.5,16,1,23,48,680,31,0,0,2,0
Gulbarga,115,PM2.5,41,6,36,85,18,8,4,10,0,0
Padova,55,PM2.5,5,0,12,13,269,24,0,59,1,0
Durgapur,67,PM2.5,29,6,20,35,399,8,7,25,3,0
Kurnool,115,PM2.5,53,4,40,54,285,11,0,0,0,0
El Paso,36,PM2.5,24,0,8,32,100,14,0,2,0,0
Nantes,61,PM2.5,15,0,16,28,141,21,0,2,0,0
Zagreb,91,PM2.5,17,6,34,56,423,46,0,0,2,0
Nashville,36,PM2.5,33,0,8,12,102,12,0,0,0,0
Genoa,78,PM2.5,18,2,24,44,249,27,0,0,2,0
Ezhou,38,PM2.5,15,0,11,37,353,22,1,19,0,0
Santiago,73,PM2.5,3,2,25,62,584,56,0,0,0,0
Mar Del Plata,21,PM2.5,18,0,4,7,68,0,0,0,0,0
Lodz,83,PM2.5,3,1,30,40,410,31,0,32,1,0
Oklahoma City,34,PM2.5,37,0,9,33,288,8,0,1,0,0
Las Vegas,54,PM2.5,6,1,15,56,506,41,50,0,0,0
General Santos City,88,PM2.5,19,0,32,32,271,11,0,0,0,0
Detroit,49,PM2.5,13,1,12,31,212,12,0,0,0,0
Manama,123,PM2.5,53,14,38,67,178,34,0,0,0,0
Portland,36,PM2.5,4,1,5,15,142,13,3,16,0,0
Sokoto,36,PM2.5,0,0,0,0,0,0,0,0,0,0
Macao,96,O3,62,3,23,51,439,24,0,0,0,0
Zhoushan,40,PM2.5,33,0,4,4,103,1,0,0,0,0
Jhansi,156,PM2.5,35,8,47,75,302,22,1,8,0,0
Memphis,45,PM2.5,31,0,10,10,109,2,0,0,0,0
Doha,154,PM2.5,46,25,58,85,179,42,0,0,0,0
Chiclayo,21,PM2.5,18,0,5,7,62,0,0,0,0,0
Wuhai,67,PM10,14,7,12,79,436,31,0,0,0,0
Be'er Sheva,99,PM2.5,51,2,28,108,256,6,1,8,0,0
Durango,22,O3,25,0,3,5,135,3,0,0,0,0
Bokaro Steel City,22,O3,25,0,3,5,135,3,0,0,0,0
Wroclaw,137,PM2.5,4,3,42,50,366,21,1,25,1,0
Venezia,65,PM2.5,10,0,19,29,194,53,0,51,0,0
Jambi,43,PM2.5,14,1,12,17,234,11,0,0,0,0
Khabarovsk,43,PM2.5,14,1,12,17,234,11,0,0,0,0
Belfast,56,PM2.5,25,1,16,29,81,24,4,16,0,0
Stuttgart,67,PM2.5,12,1,18,39,264,29,41,11,0,0
Riga,83,PM2.5,7,1,27,50,196,26,0,0,0,0
Kolhapur,82,PM2.5,54,1,28,54,210,14,0,0,0,0
Bacolod,57,PM2.5,33,1,15,37,148,10,0,0,0,0
Ulyanovsk,60,PM2.5,17,2,17,26,148,18,0,0,0,0
Al-Ain,137,PM2.5,75,4,51,112,156,11,0,0,0,0
Bari,24,O3,30,1,3,4,170,8,0,0,0,0
Yulin Guangxi,82,PM2.5,21,2,28,69,217,20,1,11,0,0
Ajmer,157,PM2.5,42,6,58,143,751,19,4,4,2,0
Kuching,152,PM2.5,16,1,64,69,375,37,0,0,0,0
Geneva,57,PM2.5,10,0,17,12,156,12,11,1,0,0
Anshun,54,PM2.5,11,0,15,41,307,36,8,36,0,0
Colombo,45,PM2.5,28,0,15,23,106,22,0,0,0,0
Ujjain,181,PM2.5,57,2,119,222,742,31,1,10,0,0
Gothenburg,59,PM2.5,10,0,16,38,166,35,0,0,0,0
Patiala,160,PM2.5,9,2,70,167,703,42,2952,10,2136,0
Zahedan,160,PM2.5,9,2,70,167,703,42,2952,10,2136,0
Bilaspur,108,PM2.5,26,7,38,88,437,12,5,19,0,0
Louisville,29,PM2.5,30,0,6,20,210,18,0,0,0,0
San Jose del Monte,54,PM2.5,33,1,12,23,189,26,0,0,0,0
Yaroslavl,61,PM2.5,26,2,17,25,170,22,0,0,0,0
Brighton,66,PM2.5,10,1,20,25,327,20,21,41,0,0
Feira De Santana,31,PM2.5,23,1,6,11,94,1,0,0,0,0
Comilla,69,PM2.5,1,8,21,32,398,4,1,10,0,0
Mathura,173,PM2.5,60,6,89,128,776,12,2,17,570,0
Skopje,78,PM2.5,16,4,24,24,452,9,0,0,0,0
Leipzig,59,PM2.5,4,0,16,34,316,15,38,22,1,0
Agartala,80,PM2.5,1,8,26,49,402,13,1,10,0,0
Kingston,25,O3,35,1,7,7,137,2,0,0,0,0
Sangli,25,O3,35,1,7,7,137,2,0,0,0,0
Malaga,56,PM2.5,32,1,17,29,226,19,2,7,0,0
Ibague,57,PM2.5,27,0,17,21,235,6,0,0,0,0
Dortmund,71,PM2.5,1,1,22,29,218,29,144,3,0,0
Kagoshima,46,PM2.5,27,4,11,13,400,31,15,46,0,200
Cabimas,30,PM2.5,15,2,7,11,206,9,0,0,0,0
Milwaukee,30,PM2.5,15,2,7,11,206,9,0,0,0,0
Samut Sakhon,156,PM2.5,56,5,74,116,1021,71,0,0,0,0
Essen,69,PM2.5,4,1,22,27,295,25,77,0,0,0
Dresden,63,PM2.5,7,0,18,29,342,20,29,13,1,0
Udaipur,158,PM2.5,15,2,66,137,489,44,11,46,2,0
Vellore,159,PM2.5,23,4,71,116,607,42,4,18,1,0
Thoothukkudi,83,PM2.5,3,4,30,52,262,14,4,11,2,0
Bloemfontein,24,O3,30,1,2,3,68,0,0,0,0,0
Udon Thani,69,PM2.5,56,1,17,37,570,14,0,0,0,0
Jalgaon,171,PM2.5,32,24,94,138,611,42,2,22,2,0
Zaoyang,154,PM2.5,30,6,62,92,766,25,0,0,0,0
Yiyang Hunan,176,PM2.5,47,6,100,157,696,10,2,12,2,0
Baltimore,35,PM2.5,18,0,9,19,241,28,6,36,0,0
Kitchener,64,PM2.5,23,1,21,21,204,3,4,9,0,0
Poza Rica de Hidalgo,41,PM2.5,13,4,11,17,172,4,0,0,0,0
Oujda,30,O3,38,1,4,9,114,1,0,0,0,0
Orenburg,63,PM2.5,23,1,19,46,141,33,0,0,0,0
Bremen,99,PM2.5,11,1,37,51,314,29,14,14,0,0
Kota Kinabalu,81,PM2.5,26,0,25,66,170,15,0,0,0,0
Basel,66,PM2.5,2,0,19,24,301,30,14,6,0,0
Gomel,56,PM2.5,22,2,16,19,167,3,0,0,0,0
Albuquerque,38,PM2.5,18,1,7,13,106,11,0,11,0,0
Meknes,26,O3,40,2,5,10,113,1,0,0,0,0
Panipat,154,PM2.5,21,16,62,152,1044,34,10,23,3,0
Irbid,80,PM10,38,1,22,107,290,8,4,13,0,0
Chiang Rai,145,PM2.5,55,1,56,77,460,23,0,0,0,0
Leicester,55,PM2.5,20,1,11,24,148,28,7,21,0,0
Tucson,59,PM2.5,18,1,16,65,207,21,0,0,0,0
Imus,97,PM2.5,27,1,33,77,235,33,0,0,0,0
Villavicencio,61,PM2.5,13,1,19,26,212,7,0,0,0,0
Sakarya,169,PM2.5,18,20,101,171,1420,39,0,0,0,0
Utrecht,95,PM2.5,5,0,37,44,353,21,7,0,0,0
Larkana,152,PM2.5,53,5,56,88,367,4,0,0,0,0
Basilan City,38,O3,38,0,5,8,118,1,0,0,0,0
Kerman,72,PM2.5,17,0,24,29,336,7,0,5,0,0
Mekele,37,O3,44,0,7,16,112,0,0,0,0,0
Edinburgh,27,O3,35,1,8,14,138,23,0,0,0,0
San Juan,32,O3,36,0,6,12,81,0,0,0,0,0
Ryazan,69,PM2.5,18,3,22,33,189,25,0,0,0,0
Vilnius,78,PM2.5,5,2,26,38,175,27,0,25,0,0
Calamba,37,O3,26,1,7,12,238,12,0,0,0,0
Hannover,66,PM2.5,7,1,18,19,162,8,18,11,0,0
Fresno,78,PM2.5,19,0,24,33,320,11,0,4,0,0
Astrakhan,44,PM2.5,19,1,10,18,127,19,0,0,0,0
Bellary,146,PM2.5,33,20,54,89,286,49,0,0,0,0
Pietermaritzburg,68,PM2.5,30,5,21,24,160,37,0,0,0,0
Rustenburg,57,PM2.5,35,1,15,17,366,4,7,9,0,0
Sheikhupura,158,PM2.5,27,12,66,114,634,12,4,13,2,0
Grenoble,68,PM2.5,1,1,20,43,207,25,16,5,0,0
Angeles City,64,PM2.5,32,2,21,34,212,10,0,0,0,0
Poznan,99,PM2.5,11,6,31,43,444,25,0,7,0,0
Cuautla Morelos,78,SO2,24,58,16,23,629,14,0,0,0,0
Kalasin,118,PM2.5,45,4,45,85,268,10,0,0,0,0
Atlanta,91,PM2.5,2,2,32,60,487,22,21,33,0,0
Rupganj,86,PM2.5,1,8,31,33,408,7,1,10,0,0
Penza,66,PM2.5,20,1,18,30,140,23,0,0,0,0
Porto Velho,17,PM2.5,9,1,4,6,146,1,0,0,0,0
Chuxiong,94,PM2.5,30,3,32,42,611,5,0,0,0,0
Duisburg,63,PM2.5,1,1,19,34,974,19,108,0,0,0
Muzaffarpur,151,PM2.5,25,2,47,81,369,14,3,5,1,0
Changge,96,PM2.5,32,3,32,64,549,15,0,0,0,0
Kuantan,121,PM2.5,41,0,42,69,202,11,0,0,0,0
Kandahar,34,PM2.5,20,1,11,16,319,24,12,46,0,0
Nurenberg,76,PM2.5,4,1,27,27,329,12,58,0,0,0
London CA,78,PM2.5,22,1,29,29,218,4,4,9,0,0
Bournemouth,52,PM2.5,11,0,13,34,122,15,1,6,0,0
Khon-Kaen,116,PM2.5,43,4,40,84,386,12,0,0,0,0
Cheboksary,68,PM2.5,29,2,23,34,129,20,0,0,0,0
Lipetsk,116,PM2.5,21,3,38,46,184,22,0,0,0,0
Murcia,36,PM2.5,18,4,11,12,478,12,13,25,0,0
