city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Dublin,62,PM2.5,35,0,17,26,128,23,22,43,0,0
Maoming,24,PM2.5,19,0,7,8,307,21,17,4,0,0
San Luis Potosi,75,PM2.5,67,4,20,35,159,15,0,0,0,0
Mysore,117,PM2.5,6,1,39,109,862,35,3,35,5,0
Chelyabinsk,36,PM2.5,29,1,3,4,139,6,0,0,0,0
Moradabad,169,PM2.5,9,5,116,226,1140,53,7,32,1,0
Barquisimeto,33,O3,43,1,7,11,111,1,0,0,0,0
Durg-Bhilainagar,198,PM2.5,4,109,168,241,1505,49,0,0,0,0
Suzhou,72,PM2.5,38,0,21,45,131,21,0,0,0,0
Maracay,42,PM2.5,40,5,11,19,183,5,0,0,0,0
Ruian,31,O3,36,0,6,16,269,5,0,0,1,0
Zhenjiang Jiangsu,171,PM2.5,22,3,91,146,772,53,0,0,0,0
Baoji,125,PM2.5,13,3,45,71,529,20,0,0,0,0
Bhubaneswar,130,PM2.5,20,5,49,82,389,20,0,0,0,0
Pingdingshan Henan,130,PM2.5,20,5,49,82,389,20,0,0,0,0
Mendoza,66,PM2.5,34,1,21,43,197,20,0,0,0,0
Chiang Mai,109,PM2.5,29,1,42,52,835,8,0,0,0,0
Mwanza,109,PM2.5,29,1,42,52,835,8,0,0,0,0
Tiruchirappalli,125,PM2.5,17,10,41,64,485,20,2,12,1,0
Huaibei,65,PM10,29,2,18,82,161,26,0,12,0,0
Jinhua,52,PM2.5,26,0,10,29,128,24,12,23,0,0
Chandigarh,166,PM2.5,7,3,90,191,1149,65,33,77,5,0
Islamabad,176,PM2.5,4,4,105,105,1914,33,17,36,0,0
Amsterdam,66,PM2.5,15,1,18,38,172,32,2,0,0,0
Haifa,85,PM2.5,31,2,28,111,563,23,7,29,2,0
Guilin,124,PM2.5,57,8,44,59,500,10,0,0,0,0
Mexicali,65,PM2.5,5,0,22,78,599,51,52,56,0,0
Ufa,70,PM2.5,10,3,22,43,177,45,0,0,0,0
Rostov-on-Don,72,PM2.5,20,1,20,37,144,26,0,0,0,0
Hubli-Dharwad,130,PM2.5,24,1,50,99,364,19,6,19,0,0
Guwahati,168,PM2.5,7,7,86,157,495,7,3,7,0,0
Liupanshui,89,PM2.5,14,2,25,53,492,21,0,0,0,0
Quetta,57,PM2.5,28,1,16,25,398,11,0,0,0,0
Cologne,52,PM2.5,23,1,12,31,194,37,3,22,0,0
Aguascalientes,70,PM2.5,63,2,20,33,129,19,0,0,0,0
Binzhou,58,PM2.5,29,0,15,37,124,19,7,15,0,0
Salem,30,PM2.5,30,0,7,23,225,16,5,16,0,0
Saharanpur,158,PM2.5,23,4,69,160,628,35,5,30,4,0
Yerevan,166,PM2.5,19,10,113,319,2143,25,0,0,0,0
Tbilisi,89,PM2.5,13,2,33,63,544,19,0,0,0,0
Jalandhar,154,PM2.5,15,5,62,106,821,8,18,17,1,0
Lille,69,PM2.5,24,0,22,36,99,32,3,7,0,0
Siliguri,164,PM2.5,6,1,82,271,1908,35,79,157,30,0
Oslo,60,PM2.5,27,1,13,26,185,27,16,32,0,0
Jingzhou Hubei,60,PM2.5,27,1,13,26,185,27,16,32,0,0
Zhaoqing,96,PM2.5,6,4,31,49,533,44,0,0,0,0
Antwerp,31,PM2.5,17,0,7,15,240,15,12,0,0,0
Johor Bahru,143,PM2.5,34,2,55,64,180,14,0,0,0,0
Solapur,155,PM2.5,17,6,68,91,527,28,2,7,1,0
Teresina,58,PM2.5,25,0,17,30,141,20,0,0,0,0
Fuzhou Jiangxi,80,PM2.5,34,0,14,15,178,4,0,0,0,0
Aracaju,68,PM2.5,24,0,18,41,84,15,0,0,0,0
Leshan,93,PM2.5,15,2,33,48,608,10,0,0,0,0
Marrakech,68,PM2.5,30,1,21,35,120,7,0,0,0,0
Rotterdam,48,PM2.5,23,0,10,25,174,29,2,0,1,0
Austin,49,PM2.5,19,1,15,38,397,29,15,32,0,0
San Jose,71,PM2.5,2,0,22,29,461,25,5,21,0,50
Denpasar,51,PM2.5,13,0,10,16,226,5,0,0,0,0
Odesa,85,PM2.5,23,2,32,39,148,37,0,0,0,0
San Miguel de Tucuman,56,PM2.5,24,1,14,25,113,21,0,0,0,0
Padang,88,PM2.5,10,1,29,68,678,19,0,0,0,0
Cebu City,46,PM2.5,32,1,3,5,109,1,0,0,0,0
Acapulco de Juarez,55,O3,92,6,13,20,207,5,0,0,0,0
Valparaiso,71,PM2.5,25,3,24,42,390,24,0,0,0,0
Kayseri,112,PM10,7,5,34,129,638,43,0,0,0,0
Warangal,138,PM2.5,19,8,53,104,527,15,3,24,3,0
Changshu,140,PM2.5,34,3,47,83,702,15,0,0,0,0
Bordeaux,20,PM2.5,22,0,4,9,128,17,29,46,0,0
Songkhla,46,PM2.5,49,1,13,32,16,1,0,0,0,0
Yichun Jiangxi,65,PM2.5,13,2,18,37,278,17,1,18,0,0
Krasnodar,96,PM2.5,10,2,31,45,250,32,0,0,0,0
Cancun,31,O3,34,0,7,13,80,0,0,0,0,0
Jixi Heilongjiang,98,PM2.5,11,3,23,99,632,22,0,0,0,0
Morelia,83,PM2.5,62,5,20,26,214,11,0,0,0,0
Dnipro,92,PM2.5,14,2,37,47,188,28,0,0,0,0
Khulna,104,PM2.5,9,3,38,78,1059,11,31,62,14,0
Jerusalem,112,PM2.5,13,1,52,124,324,40,34,74,4,0
Dehradun,161,PM2.5,21,3,82,174,676,40,6,31,4,0
Fort Worth,41,PM2.5,19,1,6,41,292,27,13,27,0,0
Jiujiang,135,PM2.5,44,4,28,137,664,16,0,0,0,0
Southampton,31,PM2.5,30,1,6,22,224,10,4,12,0,0
Arequipa,38,O3,43,1,4,6,120,1,0,0,0,0
Ciudad Guayana,28,O3,31,0,5,8,94,1,0,0,0,0
Zamboanga City,51,PM2.5,39,0,12,26,117,8,0,0,0,0
Veracruz,34,PM2.5,37,1,9,15,124,1,0,0,0,0
Jacksonville,62,PM2.5,29,4,15,39,600,28,0,0,0,0
Pathum Thani,165,PM2.5,9,3,92,136,644,46,0,0,0,0
Rajshahi,154,PM2.5,0,4,64,120,812,26,31,56,4,0
Guigang,65,PM2.5,18,1,12,34,240,14,1,15,0,0
Columbus,57,PM2.5,26,1,19,43,200,36,0,0,0,0
Charlotte,41,PM2.5,32,0,10,33,206,16,1,5,0,0
Ulsan,48,PM2.5,32,2,10,18,367,16,0,2,0,0
Liverpool,57,PM2.5,34,1,13,22,134,22,3,10,0,0
Antipolo,39,PM2.5,38,0,7,13,129,1,0,0,0,0
Zhangzhou,78,PM2.5,13,6,24,60,521,39,1,11,0,0
Bergamo,63,PM2.5,4,3,15,22,1035,51,0,8,2,0
Donetsk,111,PM2.5,19,7,36,48,258,18,0,0,0,0
Malang,116,PM2.5,7,0,39,61,979,30,0,0,0,0
Linfen,133,PM2.5,3,8,44,61,698,33,0,0,0,0
Sylhet,101,PM2.5,10,4,40,72,439,5,5,9,0,0
Indianapolis,52,PM2.5,12,1,13,48,308,39,0,0,0,0
Hermosillo,26,PM2.5,50,2,5,8,130,2,0,0,0,0
San Francisco,77,PM2.5,8,1,23,45,438,32,14,32,0,0
Guntur,75,PM2.5,26,5,24,32,429,6,2,8,1,0
Bahawalpur,168,PM2.5,15,2,90,131,770,14,0,0,0,0
Tyumen,57,PM2.5,31,2,15,33,138,33,0,0,0,0
Soshanguve,51,PM2.5,20,1,16,51,716,3,1,4,0,0
Tuxtla Gutierrez,72,PM2.5,43,1,21,36,233,10,0,0,0,0
Puducherry,86,PM2.5,22,1,29,79,716,24,2,12,1,0
Culiacan,25,O3,47,1,6,8,120,1,0,0,0,0
Saratov,56,PM2.5,13,1,14,22,147,25,0,0,0,0
Valencia,69,PM2.5,27,1,25,28,103,22,3,11,0,0
Luzhou,152,PM2.5,16,9,48,103,556,11,0,0,0,0
Quebec City,34,O3,33,0,7,29,127,14,0,0,0,0
Yibin,151,PM2.5,16,3,48,60,525,11,0,0,0,0
Ipoh,63,PM2.5,6,1,10,21,642,14,0,0,0,0
Winnipeg,61,PM2.5,38,3,18,32,163,12,0,0,0,0
Bogra,137,PM2.5,2,1,50,84,731,28,0,0,0,0
Newcastle upon Tyne,35,PM2.5,28,1,8,28,139,22,11,17,0,0
Thessaloniki,65,PM2.5,11,2,21,37,206,15,0,0,5,0
Bologna,98,PM2.5,12,1,31,53,873,78,17,26,1,0
Barcelona-Puerto La Cruz,42,PM2.5,22,0,11,14,220,18,5,23,2,0
Cherthala,89,PM2.5,8,6,26,40,876,14,20,31,0,0
Quzhou,137,PM2.5,37,5,48,106,507,20,0,0,0,0
Sorocaba,55,PM2.5,20,0,14,27,297,26,0,0,0,0
Nottingham,59,PM2.5,29,1,16,35,138,47,25,48,0,0
Xalapa,58,PM2.5,59,4,15,21,192,1,0,0,0,0
Frankfurt,56,PM2.5,9,0,19,52,446,51,40,73,2,0
Nakhon Ratchasima,147,PM2.5,24,1,56,93,650,35,0,0,0,0
Vereeniging,50,PM2.5,32,6,13,25,305,18,6,16,1,0
Seattle,52,PM2.5,1,0,13,38,407,45,45,63,0,0
Bozhou,117,PM2.5,48,1,41,78,33,9,0,0,0,0
Nellore,123,PM2.5,20,3,40,90,731,26,5,16,1,0
Hamilton,38,PM10,26,2,7,43,299,20,3,14,0,0
Cagayan de Oro City,34,PM2.5,26,0,7,10,134,2,0,0,0,0
Krakow,117,PM2.5,3,2,37,58,851,31,0,107,3,0
Gorakhpur,138,PM2.5,5,7,54,118,699,12,2,0,0,0
Dasmarinas,66,PM2.5,38,0,23,38,134,13,0,0,0,0
Ar-Rayyan,64,PM2.5,23,3,17,46,161,10,0,0,0,0
Cuttack,103,PM2.5,18,6,36,52,410,11,0,0,0,0
Denver,57,PM10,14,0,13,66,445,38,0,2,0,0
Qingyuan,84,PM2.5,11,2,28,54,337,31,1,26,0,0
Banjarmasin,70,PM2.5,14,1,26,42,290,19,0,0,0,0
Kottayam,109,PM2.5,10,6,37,75,882,22,18,35,0,0
Belgaum,19,PM2.5,22,0,4,8,292,17,11,2,1,0
Sheffield,46,PM2.5,29,1,12,23,147,25,7,20,0,0
Gaza,111,PM2.5,9,0,36,153,1111,27,2,28,1,0
Zaragoza,49,PM2.5,3,2,13,28,402,17,22,39,0,0
Zaporizhzhya,149,PM2.5,24,7,59,76,365,25,0,0,0,0
Malegaon,163,PM2.5,40,10,78,118,546,17,3,29,1,0
Sao Jose dos Campos,59,PM2.5,23,0,17,23,102,22,0,0,0,0
Mangalore,159,PM2.5,14,2,76,108,393,29,8,33,0,0
Okayama,35,PM2.5,39,2,7,7,311,5,0,5,0,43
Ribeirao Preto,60,PM2.5,41,0,17,31,120,14,0,0,0,0
Xianyang Shaanxi,60,PM2.5,41,0,17,31,120,14,0,0,0,0
Bunia,21,O3,23,0,4,7,139,0,0,0,0,0
Lviv,78,PM2.5,16,3,24,34,174,28,0,15,1,0
Tongliao,104,PM2.5,12,14,33,67,350,21,0,0,0,0
Sialkot,127,PM2.5,7,6,47,107,789,10,9,19,1,0
Buffalo City,73,PM2.5,17,0,25,49,63,35,0,0,0,0
Suining Sichuan,73,PM2.5,17,0,25,49,63,35,0,0,0,0
Oaxaca de Juarez,55,PM2.5,44,1,14,18,103,8,0,0,0,0
Washington,48,PM10,26,1,11,60,206,23,2,6,0,0
Sargodha,163,PM2.5,9,1,79,113,1105,21,0,0,0,0
Bhavnagar,176,PM2.5,13,30,104,210,1018,29,9,33,7,0
Gold Coast,33,PM2.5,8,1,10,18,69,12,0,0,0,0
Florence,26,PM2.5,25,3,6,17,331,13,5,15,0,0
Jammu,39,PM2.5,28,0,9,18,205,17,7,18,0,0
Yulin Shaanxi,39,PM2.5,28,0,9,18,205,17,7,18,0,0
Nanded Waghala,160,PM2.5,1,12,82,193,1053,15,11,27,2,0
Tirupati,95,PM2.5,10,2,30,46,1077,13,7,19,1,0
Bacoor,33,PM2.5,38,0,8,14,134,1,0,0,0,0
The Hague,63,PM2.5,22,0,19,38,154,36,2,0,1,0
Seville,79,PM2.5,29,2,24,40,411,27,4,12,0,0
Dongtai,112,PM2.5,22,3,40,76,680,21,0,0,0,0
Bali,51,PM2.5,13,0,10,16,226,5,0,0,0,0
Boston,38,PM2.5,30,0,9,25,237,19,8,16,0,0
Yuxi,89,PM2.5,5,4,33,49,1497,21,0,0,0,0
Bristol,26,O3,31,0,2,5,167,2,2,4,0,0
Cheonan,114,PM2.5,8,1,37,57,836,20,3,9,1,0
Jundiai,63,PM2.5,28,0,20,49,301,24,0,0,0,0
Gulbarga,142,PM2.5,12,6,50,182,1048,64,21,77,1,0
Padova,89,PM2.5,10,0,32,33,531,20,0,26,1,0
Durgapur,161,PM2.5,9,11,79,256,1198,9,31,54,7,0
Kurnool,118,PM2.5,7,4,38,61,2112,41,5,27,0,0
El Paso,122,PM10,9,2,32,213,700,31,65,88,0,0
Nantes,58,PM2.5,29,1,14,28,135,29,7,3,0,0
Zagreb,108,PM2.5,2,5,41,71,349,41,0,0,2,0
Nashville,57,PM2.5,30,1,16,39,134,16,0,0,0,0
Genoa,64,PM2.5,30,2,19,23,345,28,3,5,1,0
Ezhou,44,PM2.5,21,4,11,44,255,16,7,17,0,0
Santiago,82,PM2.5,28,2,24,101,482,42,0,0,0,0
Mar Del Plata,48,PM2.5,19,0,11,17,62,4,0,0,0,0
Lodz,90,PM2.5,9,2,32,46,554,37,0,44,2,0
Oklahoma City,51,PM10,31,0,11,55,554,29,27,45,0,0
Las Vegas,77,PM10,6,2,16,121,394,45,110,0,0,0
General Santos City,53,PM2.5,16,0,13,19,265,3,0,0,0,0
Detroit,46,PM2.5,26,1,11,41,197,21,0,0,0,0
Manama,163,PM2.5,55,48,83,155,206,43,0,0,0,0
Portland,55,PM2.5,5,1,15,36,133,25,6,20,0,0
Macao,71,PM2.5,34,3,21,49,518,25,0,0,0,0
Zhoushan,40,PM2.5,31,1,10,29,133,16,0,0,0,0
Jhansi,166,PM2.5,5,10,88,150,2427,33,62,83,0,0
Memphis,52,PM2.5,31,1,14,35,135,15,0,0,0,0
Doha,158,PM2.5,23,20,74,111,327,55,0,0,0,0
Chiclayo,34,PM2.5,29,1,9,15,78,0,0,0,0,0
Wuhai,83,PM2.5,5,4,29,66,789,20,0,0,0,0
Be'er Sheva,110,PM2.5,16,2,38,103,720,24,3,27,1,0
Durango,25,O3,37,0,1,2,75,0,0,0,0,0
Bokaro Steel City,154,PM2.5,10,58,66,146,1398,33,23,90,6,0
Wroclaw,132,PM2.5,6,5,47,66,454,40,1,44,2,0
Venezia,102,PM2.5,24,0,40,50,336,52,0,17,2,0
Jambi,40,PM2.5,19,1,10,15,180,3,0,0,0,0
Duesseldorf,61,PM2.5,23,1,15,44,174,50,10,6,0,0
Belfast,71,PM2.5,34,1,20,41,87,28,2,8,0,0
Stuttgart,61,PM2.5,16,1,16,52,524,57,73,20,0,0
Riga,143,PM2.5,8,3,52,78,322,32,0,0,0,0
Kolhapur,131,PM2.5,27,3,45,76,382,28,0,0,0,0
Bacolod,54,PM2.5,31,0,14,35,123,9,0,0,0,0
Ulyanovsk,61,PM2.5,22,2,17,17,142,17,0,0,0,0
Al-Ain,151,PM2.5,24,3,54,102,172,40,0,0,0,0
Bari,33,O3,38,0,3,12,240,2,0,0,1,0
Yulin Guangxi,61,PM2.5,17,2,15,38,263,15,1,16,0,0
Ajmer,88,PM2.5,6,5,29,144,1677,47,18,86,20,0
Kuching,63,PM2.5,11,1,14,21,503,17,0,0,0,0
Geneva,58,PM2.5,12,0,18,10,305,21,3,6,0,0
Anshun,47,PM2.5,24,0,12,39,202,24,9,21,0,0
Colombo,48,PM2.5,18,0,12,26,68,22,0,0,0,0
Ujjain,173,PM2.5,25,1,102,184,999,43,3,34,1,0
Gothenburg,65,PM2.5,31,0,23,34,150,28,0,0,0,0
Patiala,115,PM2.5,6,1,39,115,676,29,3556,14,1578,0
Bilaspur,133,PM2.5,6,4,50,100,775,26,22,52,4,0
Louisville,58,PM2.5,24,0,19,52,262,32,0,0,0,0
San Jose del Monte,57,PM2.5,38,0,14,26,125,22,0,0,0,0
Yaroslavl,55,PM2.5,15,3,16,22,177,27,0,0,0,0
Brighton,71,PM2.5,29,1,19,27,283,22,0,3,0,0
Feira De Santana,19,O3,21,1,4,7,96,2,0,0,0,0
Comilla,65,PM2.5,1,8,18,31,510,3,3,12,0,0
Mathura,135,PM2.5,2,4,39,102,494,12,4,27,579,0
Skopje,61,PM2.5,18,3,18,18,531,10,0,0,0,0
Leipzig,74,PM2.5,4,1,22,39,297,31,61,41,2,0
Agartala,67,PM2.5,1,8,20,46,515,12,4,12,0,0
Kingston,29,O3,34,0,8,18,118,8,1,0,0,0
Sangli,128,PM2.5,21,3,41,77,221,26,0,0,0,0
Malaga,61,PM2.5,27,1,18,29,297,38,6,22,0,0
Ibague,38,O3,40,0,6,9,123,1,0,0,0,0
Dortmund,56,PM2.5,17,1,13,24,233,37,5,4,0,0
Kagoshima,35,O3,37,1,4,4,100,5,0,5,0,60
Cabimas,39,O3,57,2,8,14,145,3,0,0,0,0
Milwaukee,51,PM2.5,20,0,13,40,254,26,1,0,0,0
Samut Sakhon,198,PM2.5,4,12,149,190,1242,86,0,0,0,0
Beira,198,PM2.5,4,12,149,190,1242,86,0,0,0,0
Essen,54,PM2.5,27,1,12,19,171,30,11,0,0,0
Dresden,79,PM2.5,4,1,27,42,590,38,14,32,2,0
Udaipur,169,PM2.5,9,7,94,188,2879,55,62,155,3,0
Vellore,133,PM2.5,12,5,50,102,770,22,5,16,1,0
Thoothukkudi,93,PM2.5,4,2,25,50,236,5,3,8,2,0
Bloemfontein,27,O3,19,1,4,28,196,6,0,0,0,0
Udon Thani,152,PM2.5,26,3,68,113,1110,23,0,0,0,0
Jalgaon,157,PM2.5,15,9,62,101,879,33,15,69,4,0
Zaoyang,163,PM2.5,22,4,67,126,797,15,0,0,0,0
Yiyang Hunan,161,PM2.5,21,6,77,168,848,23,4,27,3,0
Baltimore,59,PM2.5,30,1,12,40,125,36,3,10,0,0
Kitchener,27,O3,31,0,7,22,304,25,20,42,0,0
Poza Rica de Hidalgo,61,PM2.5,44,6,18,29,146,4,0,0,0,0
Oujda,32,O3,32,3,7,11,113,5,0,0,0,0
Orenburg,66,PM2.5,18,5,17,29,176,35,0,0,0,0
Bremen,72,PM2.5,11,0,22,37,311,37,9,28,0,0
Kota Kinabalu,42,PM2.5,19,1,9,14,191,4,0,0,0,0
Basel,53,PM2.5,19,0,13,25,268,36,1,11,0,0
Gomel,47,PM2.5,19,1,10,11,168,3,0,0,0,0
Albuquerque,96,PM10,12,3,17,155,649,42,70,103,0,0
Meknes,44,PM2.5,26,2,12,17,132,8,0,0,0,0
Panipat,166,PM2.5,19,8,88,177,1213,24,12,26,4,0
Irbid,94,PM10,21,1,28,137,523,13,2,16,1,0
Chiang Rai,108,PM2.5,15,2,30,37,540,3,0,0,0,0
Leicester,50,NO2,27,0,12,21,134,54,44,79,0,0
Tucson,69,PM10,13,0,18,76,102,13,0,0,0,0
Imus,47,PM2.5,38,0,8,14,135,1,0,0,0,0
Villavicencio,52,PM2.5,33,0,12,16,100,5,0,0,0,0
Sakarya,90,PM2.5,10,26,30,87,1049,49,0,0,0,0
Utrecht,58,PM2.5,19,0,13,21,166,24,4,0,0,0
Larkana,166,PM2.5,16,3,86,127,715,13,0,0,0,0
Basilan City,33,O3,38,0,5,8,119,0,0,0,0,0
Kerman,88,PM2.5,8,0,33,60,485,14,1,9,0,190
Mekele,44,PM2.5,34,0,11,19,265,1,0,0,0,0
Edinburgh,32,O3,30,1,5,7,173,28,2,9,0,0
San Juan,33,O3,35,0,7,13,81,0,0,0,0,0
Ryazan,46,PM2.5,15,2,11,17,160,25,0,0,0,0
Vilnius,80,PM2.5,11,2,26,30,247,30,0,24,1,0
Calamba,33,O3,38,0,7,13,131,1,0,0,0,0
Hannover,51,PM2.5,7,0,13,15,377,23,24,25,0,0
Fresno,82,PM2.5,7,0,25,51,525,26,2,11,0,784
Astrakhan,53,PM2.5,18,0,13,16,132,10,0,0,0,0
Bellary,111,PM2.5,27,8,36,65,1138,20,22,39,1,0
Pietermaritzburg,64,PM2.5,7,4,18,30,154,35,0,0,0,0
Rustenburg,44,PM2.5,15,1,7,17,464,4,1,4,1,0
Sheikhupura,173,PM2.5,13,4,88,153,1162,26,19,37,5,0
Grenoble,73,PM2.5,12,2,22,28,221,52,18,22,0,0
Angeles City,28,O3,28,0,6,10,157,2,0,0,0,0
Poznan,133,PM2.5,7,7,53,68,705,42,0,15,1,0
Cuautla Morelos,63,PM2.5,74,25,16,22,204,1,0,0,0,0
Kalasin,104,PM2.5,48,3,31,54,479,6,0,0,0,0
Atlanta,53,PM2.5,5,2,14,33,678,35,54,76,0,0
Rupganj,109,PM2.5,2,8,34,34,510,5,4,12,0,0
Penza,59,PM2.5,22,1,14,21,142,14,0,0,0,0
Porto Velho,16,PM2.5,17,0,4,6,128,1,0,0,0,0
Chuxiong,85,PM2.5,25,3,30,32,524,4,0,0,0,0
Duisburg,31,PM2.5,24,2,7,16,250,15,7,0,0,0
Muzaffarpur,193,PM2.5,7,1,140,261,1217,48,4,38,5,0
Changge,141,PM2.5,10,5,44,97,756,27,0,0,0,0
Kuantan,38,PM2.5,34,0,9,16,162,1,0,0,0,0
Kandahar,24,PM2.5,24,0,4,10,218,8,8,22,0,0
Nurenberg,33,PM2.5,8,1,9,10,280,26,8,0,0,0
London CA,26,O3,28,1,2,7,320,11,20,42,0,0
Bournemouth,70,PM2.5,29,1,22,65,126,44,1,4,0,0
Khon-Kaen,121,PM2.5,34,3,44,91,720,19,0,0,0,0
Cheboksary,61,PM2.5,20,2,17,34,145,19,0,0,0,0
Lipetsk,80,PM2.5,15,1,27,35,168,19,0,0,0,0
Murcia,18,O3,16,2,5,19,436,18,13,31,0,0
Tirana,62,PM2.5,15,1,20,22,226,11,0,0,0,0
Surat Thani,63,PM2.5,33,4,13,25,307,3,0,0,0,0
